iter,lower_bound_batch_avg
1,81373.75812469795
2,263476.46782016923
3,311967.8792326248
4,509771.7655846671
5,436299.5633873242
6,519521.2915567773
7,549004.8573146751
8,740659.7510228776
9,709858.6752126785
10,658659.531542925
11,903410.2994486876
12,548084.7065843695
13,641662.2904585311
14,727058.7425004619
15,764988.119370561
16,694302.049299303
17,774555.9310412733
18,789502.802022044
19,658778.9193295273
20,509196.7895421095
21,758275.370436476
22,790918.6328733406
23,678041.66848217
24,726323.5819651032
25,605919.342766338
26,459916.56879738794
27,683308.2807846599
28,620374.2999494157
29,715989.9539585871
30,594117.260267583
31,713769.1954634166
32,701406.0909474429
33,569528.3569409644
34,523103.9800503133
35,697201.0621026383
36,657948.8955028041
37,655644.9207097287
38,596187.5325782249
39,652795.5368302262
40,759200.5187238209
41,771776.121301308
42,733227.1284686499
43,701510.3207101562
44,643239.6917367002
45,516134.1994616225
46,605951.9439352895
47,367094.5928003859
48,712123.6355974464
49,760114.484824047
50,1034025.458033199
51,598105.0573491072
52,737853.8557190918
53,615534.1458175671
54,842899.853377043
55,646510.9252765451
56,723255.2698585631
57,557980.2420819787
58,647530.5440772942
59,603786.7151518555
60,659541.3123954579
61,834463.8411798857
62,599208.5515929067
63,683814.3219223549
64,735793.4794144287
65,713306.0420897448
66,668298.1789650966
67,736978.2417092787
68,883296.2806497796
69,580805.5190672644
70,568682.8212028088
71,552539.1160861498
72,702753.4616135014
73,668029.388261565
74,682610.4364723447
75,600980.6512151747
76,580648.6452581449
77,689083.0800021908
78,692761.3334182248
79,705241.8513854584
80,727032.2530459615
81,777330.7566012451
82,565902.5560797602
83,473503.4552443124
84,573864.4704194309
85,689786.9273560303
86,876221.7437958545
87,875016.6176419663
88,501379.01853828726
89,810902.7251017042
90,700540.2053125292
91,660411.2788170751
92,542737.3469006991
93,853090.4338130001
94,580569.5153107883
95,780642.4848630256
96,826892.4024600757
97,538491.2449587786
98,726495.834743908
99,833769.1691564412
100,576329.9447366415
101,921085.4815348233
102,554009.0282966688
103,704661.3636238718
104,555055.06714717
105,688887.6025428209
106,798526.2637517618
107,751823.0681329332
108,892983.3732686678
109,730924.4992318891
110,885075.2626434031
111,867503.7259035793
112,877210.7661993726
113,665015.4879116088
114,694322.1331990036
115,880437.310269024
116,600817.1561995153
117,575045.8192629099
118,741235.5366030543
119,931670.168169185
120,759492.1879021248
121,647909.7917606169
122,760649.9937510954
123,1008927.5469860814
124,894599.0788824585
125,641071.7968947983
126,624248.926641275
127,747742.0644149266
128,638550.0371026119
129,741091.1284521288
130,792889.0506696149
131,671128.0748177534
132,801817.607894778
133,680875.655702919
134,909513.2119635525
135,483253.41533402854
136,613841.0488858226
137,742948.2964363159
138,872759.7844590633
139,707464.3142879523
140,402710.2518968065
141,415156.93631666154
142,891566.3796416861
143,735952.8827658489
144,923109.029078763
145,605234.5044861828
146,680841.9361005467
147,834316.5045905135
148,825456.8359557719
149,753188.0825648974
150,689245.7302318183
151,789204.0798638302
152,877319.4507607566
153,636279.704536754
154,707824.9426926237
155,728593.9988994054
156,641166.7201351573
157,523683.29566635715
158,667481.1990304717
159,880398.2611849867
160,621495.403335741
161,532767.9032344957
162,861185.2947182732
163,673601.2375207872
164,660045.0204056487
165,631977.4819429467
166,826567.6608384056
167,581140.2743366619
168,624747.6884741746
169,451198.971031169
170,789561.7277760888
171,950834.6606612069
172,778614.0805612551
173,660073.5209578099
174,783677.4574490758
175,552919.8463970483
176,680431.9344733484
177,903215.5282047122
178,632642.0991129726
179,633329.2586405905
180,684994.6965445934
181,598519.3754965295
182,482498.9889950042
183,681571.6564297533
184,696286.0642617426
185,740947.3933559832
186,651314.8662956147
187,684311.2806568514
188,417549.41613676434
189,880462.8420924171
190,827092.4237688237
191,725494.057013693
192,575357.0687530258
193,527409.1148493853
194,641804.4434414869
195,611355.1945753312
196,673763.657121371
197,725140.6073417965
198,790127.5078004317
199,887017.4039029139
200,697637.57790389
