iter,lower_bound_batch_avg
1,79188.97731806827
2,132032.43305465355
3,428272.05649479735
4,445514.4024942521
5,477955.13568329986
6,430641.8630289703
7,814466.3518974019
8,494490.86453884817
9,811131.3240230615
10,661766.3908054417
11,738558.4617419881
12,714578.2531382611
13,564869.2489967403
14,917895.1890811643
15,802003.0290526117
16,618795.6670852728
17,857180.0588653709
18,576313.2220048694
19,799085.8742466315
20,847704.8575250811
21,697388.3471781464
22,694341.7975207147
23,691224.6870149367
24,625934.7484836687
25,682465.347623711
26,600743.1078797332
27,737262.0794212734
28,588955.9106393475
29,690492.1178580672
30,663748.3693280788
31,670757.9823926957
32,509216.8295494996
33,611211.7484662047
34,676127.5741812999
35,771243.9310105444
36,748689.5531316686
37,724608.5754049616
38,555589.9445893124
39,771220.4614427936
40,706040.9258184435
41,520270.2067856656
42,696250.0461039364
43,857372.9931764533
44,997438.7497863988
45,751981.9398460746
46,542179.6041067946
47,762162.4630453861
48,788740.6355149827
49,745036.610095449
50,923909.4710425823
51,651104.6208628743
52,802132.9196178867
53,399884.01023125317
54,531508.9381312232
55,651173.2719744949
56,779459.7157418869
57,805667.1631093206
58,563068.5013964594
59,595534.8545991089
60,790612.0462210444
61,621541.9828119569
62,695023.8958236354
63,646289.8288203424
64,602550.2821199757
65,671679.8120549838
66,741640.036649373
67,812819.8532467667
68,713663.263117682
69,540038.8911281445
70,577205.898886989
71,838961.1119492706
72,666479.2299885359
73,516002.4824208402
74,694061.764884337
75,484567.92378856055
76,746145.4756559405
77,545322.5526464476
78,785378.6408240076
79,559013.142956119
80,627636.566871844
81,528679.3650778219
82,948119.6335916421
83,762688.5832459395
84,683778.6121070392
85,650729.8358624638
86,709441.8102509822
87,672285.9028646912
88,553943.1247781214
89,783742.9881144188
90,657195.5512241676
91,695332.3140809827
92,747383.3122835539
93,692584.579948368
94,643578.2214313995
95,571051.0302340444
96,508140.5403497141
97,601612.2825821287
98,641182.4015869778
99,661435.2816881911
100,772741.6072424346
101,687167.2899323651
102,619224.5484814664
103,636833.3638779193
104,693337.7711969354
105,526034.1310029749
106,494907.4574441606
107,661005.1224362042
108,523298.5537296393
109,606409.944765622
110,636531.159185597
111,612648.0178020049
112,632098.3683720918
113,767648.4591038125
114,710800.1784254075
115,646029.1388577765
116,565202.3009303168
117,679687.4503383278
118,649904.7424156261
119,662495.4944535401
120,752367.8828403926
121,674303.1450118159
122,666660.0419212832
123,784827.8647374723
124,633585.6672112318
125,652764.7764864194
126,604871.8984939619
127,693679.4661365161
128,690381.3399589789
129,626008.4458487073
130,574276.5623868594
131,705113.1301169246
132,686296.39779924
133,945094.27516614
134,509676.69922744704
135,440599.7044754466
136,676952.3376912666
137,590515.1549362368
138,726756.619502421
139,837961.0465821355
140,576062.5525049875
141,675070.5896293649
142,701687.3286564804
143,680239.9079748237
144,1022303.148049259
145,835491.0709531566
146,604700.384441762
147,710118.6839760297
148,793263.6415083923
149,726254.8876692217
150,815356.9136357463
151,836450.8891552595
152,613179.1015009403
153,637000.0332286817
154,673977.7846988912
155,791067.0621476627
156,753309.1585144501
157,644818.3195865588
158,816201.442806093
159,534216.2758227725
160,534183.0904107408
161,632698.3692208759
162,444403.2208872338
163,823403.1158723794
164,667120.3907011363
165,794581.6278067073
166,647862.315952784
167,748070.1554414451
168,763818.8354366629
169,934519.3597367472
170,597485.5086396332
171,755154.4734007327
172,751424.2850823501
173,776594.4902201348
174,557938.9420957621
175,796773.4782240437
176,733242.8573175337
177,493993.86468343606
178,765431.9893473543
179,614045.1145135185
180,795299.6113286923
181,548729.568411304
182,735443.1516404473
183,699524.1996913231
184,805321.7226387056
185,686442.0178632884
186,527406.2696789355
187,617333.2770458744
188,769615.6863456501
189,584209.0507157012
190,771125.6320006516
191,819054.4212204304
192,904276.284501924
193,662074.2985802828
194,602076.6081799623
195,659446.5438162712
196,505584.5219359157
197,685029.3830005387
198,872573.8070145622
199,663014.1498944666
200,949526.6930089291
201,719574.3025222044
202,1067662.3650158914
203,630585.7166898475
204,581916.72510658
205,646473.7894532487
206,583731.1700063323
207,602487.4145817556
208,734126.7156804847
209,564077.8591455142
210,574644.6140595996
211,755609.5204401051
212,608314.0116667652
213,659588.3192413396
214,662641.8211983241
215,628606.4566494933
216,671827.9616645924
217,669741.766076114
218,712730.5613373858
219,768114.6171882905
220,664890.1404084078
221,733250.4338422671
222,842372.3379008621
223,667371.6238786818
224,436045.07019641635
225,629822.9223275917
226,541146.5707175159
227,477814.21219694987
228,808827.0294555512
229,573838.1523852358
230,757112.8158752038
231,735624.7369907117
232,759997.7994056696
233,756202.9526146129
234,557456.1499402997
235,633226.3149773085
236,633602.1733796598
237,423500.8451824703
238,782070.8993730627
239,488900.8080248645
240,660691.1616896291
241,642126.4395072854
242,663719.5845938345
243,506727.54685708485
244,712694.0514736748
245,875752.2659350084
246,786056.430084856
247,689319.7475174326
248,489223.8573027464
249,771299.0638724795
250,712777.2666249529
251,611131.9838953402
252,609809.3509472283
253,498158.48242487444
254,712749.8939352292
255,794631.5145283337
256,599167.1827704436
257,909252.6124600526
258,715383.2728207058
259,450766.4738249894
260,730194.7879475597
261,556836.6159002103
262,628127.9080567874
263,718055.0073372722
264,633631.8929830887
265,725501.587972162
266,591918.7626754956
267,868310.3580437511
268,756744.5263920077
269,621140.8933343731
270,982826.3423945168
271,718029.90441537
272,763942.6564707605
273,719765.3704716011
274,887054.3723663813
275,797622.5995573688
276,572402.0385070022
277,906931.230039869
278,685834.7766058985
279,747392.6314778386
280,613796.0623952665
281,749080.2108943164
282,914525.8201596797
283,551767.4909031362
284,737725.8519354312
285,670576.4556157617
286,691848.7405668702
287,675878.5456625832
288,564403.7886414218
289,591050.6272116574
290,735318.1689096809
291,580442.8623850881
292,540601.0224496628
293,831408.853347864
294,575511.8535437195
295,649519.1162996315
296,754325.8963574274
297,825384.1643158474
298,696437.1642602836
299,724437.5418983586
300,637845.9543567578
301,789303.2240989124
302,679082.3164773721
303,710747.2668075596
304,670311.3009085315
305,614339.7057519199
306,867566.1896159946
307,897135.881106022
308,639301.8727888109
309,735495.5220828048
310,660065.0073158159
311,608332.2690545416
312,731611.8055982467
313,654836.4886709639
314,600229.7330809403
315,645531.8119784242
316,591587.1672346193
317,803942.405470134
318,695765.3362408656
319,771576.3016354498
320,570012.3313535238
321,766980.2152173195
322,744628.0713868919
323,888233.9183453717
324,785864.3568416133
325,379374.3024411604
326,625185.9269524062
327,727188.6842412043
328,649006.8970522908
329,658224.3791923695
330,659032.54123849
331,559085.0914316243
332,705927.6930664254
333,649431.3413842905
334,450533.70604114246
335,634807.3220932201
336,604995.0177987017
337,708537.132916714
338,684387.2945391266
339,768259.4719404939
340,702575.4154914207
341,594309.1752185384
342,557439.4923371755
343,704530.3934532619
344,754322.3102018298
345,581277.1594013427
346,622542.8008702388
347,682297.9117495451
348,465464.0736505239
349,621443.5849415346
350,806419.077868358
351,850455.1318214281
352,730729.1837307117
353,595818.9699036056
354,653187.9170547704
355,672595.96088031
356,658345.883757324
357,731888.2615968509
358,639211.8938007337
359,494546.32496927714
360,597815.5696136013
361,731479.4125160286
362,631580.7385597383
363,652371.8340303781
364,650654.0214457785
365,715389.3979890209
366,836316.2878378073
367,741614.1056912402
368,746517.1112464161
369,633429.8511021833
370,1089367.76301414
371,500017.46561081364
372,745210.1978645958
373,715623.1271209293
374,688222.4602731552
375,541643.1104213063
376,769526.388579377
377,717312.7371627551
378,535560.4382519355
379,748272.213658632
380,522787.52302288485
381,674794.9497584004
382,634006.9061955934
383,683522.5844847981
384,584051.9141958624
385,658824.5867703346
386,736067.6801485142
387,569814.8105886322
388,462984.66143933195
389,354832.3471839926
390,799921.0864891682
391,699695.9252524732
392,682517.6452552745
393,598079.1714194501
394,904392.3312253698
395,656648.8210702813
396,769880.6594468948
397,800257.3298109875
398,791851.409849928
399,683141.7123977889
400,705833.5518042725
401,723432.6251578565
402,668163.7499696197
403,604625.9851195785
404,739610.6591965583
405,599001.1962846863
406,623412.411734093
407,700883.3469846563
408,848616.37450466
409,678233.6856762607
410,782002.9589458869
411,631474.3852539146
412,795104.1865886669
413,735005.5785607928
414,604471.8323998239
415,678573.0374618326
416,769176.4610427876
417,584350.3339784368
418,573080.0709625188
419,584958.4420406427
420,672197.8493638376
421,857672.5878880204
422,729807.1794482799
423,456048.7868387562
424,680971.3008535133
425,792680.5119197839
426,640790.2021516415
427,731560.3650092992
428,654175.1272793494
429,531145.5553080281
430,612875.3167770589
431,882002.0834653028
432,780842.8353759849
433,712791.8496532927
434,629376.2471356987
435,776195.7419571504
436,612646.5486504158
437,788369.210139681
438,793221.6376697184
439,931031.682386159
440,705820.6963791983
441,507435.6773519016
442,721558.5947330645
443,624734.2648306557
444,845760.7285953639
445,524404.8109576507
446,693509.6275293311
447,848109.358888014
448,680563.7217243182
449,734754.7635312167
450,791298.7231590543
451,843995.5820310442
452,544670.8001549961
453,687058.221165867
454,713577.3087613501
455,569782.234286107
456,680435.1643991198
457,654334.794405576
458,717873.8573356115
459,630711.302198824
460,699356.1214817299
