t,last5_index,Vhat
1,1,5971.390455845966
2,1,5827.559476444394
3,1,5248.135750392794
4,1,4830.374296021601
5,1,6001.843416245035
6,1,9214.045966574799
7,1,6186.253121475418
8,1,5661.287640347129
9,1,6182.811970656669
10,1,5860.091485431753
11,1,7555.663420221019
12,1,9122.610046755763
13,1,9564.15973546232
14,1,9343.02757705671
15,1,10080.510453112729
16,1,9734.208638199727
17,1,9763.491561616112
18,1,9264.876855978284
19,1,8278.065901826089
20,1,7789.5592692278315
21,1,7509.860694655181
22,1,7742.460684244379
23,1,7349.249140227794
24,1,7073.809374446435
25,1,6920.973306212314
26,1,6818.154043805558
27,1,6455.2356977492855
28,1,5217.844258273892
29,1,4617.658911700804
30,1,3867.4778536390277
31,1,3291.2530378108845
32,1,2835.5943993890996
33,1,2595.544868662215
34,1,2101.7828587215704
35,1,3866.8749084771307
36,1,4061.7588217013513
37,1,4409.6526778596635
38,1,4248.902888105576
39,1,3985.442053149646
40,1,3664.6311216115937
41,1,3833.318055325746
42,1,3429.123862803447
43,1,3083.9830811985603
44,1,2798.999551307679
45,1,2763.6063794472457
46,1,4616.833056053432
47,1,4916.726654329528
1,2,6382.287422650809
2,2,6350.259478377193
3,2,5870.772296287602
4,2,5358.176172809771
5,2,4104.854882036908
6,2,3434.1707166533656
7,2,3080.710193005377
8,2,2910.0605360031514
9,2,3745.620430169731
10,2,4957.741535364659
11,2,6624.085528877442
12,2,7829.089460082583
13,2,9752.418305463394
14,2,11740.163444384889
15,2,13834.59949403855
16,2,15679.990371328691
17,2,15543.596432138434
18,2,15171.057493308868
19,2,14640.059428929748
20,2,14422.563455197871
21,2,14130.015433752165
22,2,14465.468249939484
23,2,14430.163778498116
24,2,13977.434179591719
25,2,13259.007678015878
26,2,12998.726768417095
27,2,11746.697977168944
28,2,9998.1054710994
29,2,8564.066452702215
30,2,7184.870768125992
31,2,6527.162348828
32,2,6084.743722915375
33,2,6187.639155893676
34,2,5942.138566020851
35,2,6181.228903161329
36,2,6526.131364735655
37,2,6814.974838987551
38,2,10219.528742706694
39,2,8973.297970085652
40,2,8737.476090861808
41,2,8509.733262165331
42,2,8172.889025466068
43,2,7412.967661735849
44,2,7219.473629891649
45,2,6633.240799615098
46,2,7113.616394581373
47,2,5662.289154576745
1,3,6171.279562042909
2,3,5936.420733035671
3,3,5511.775971611518
4,3,4770.467887956949
5,3,5892.4786133170655
6,3,6681.657781944156
7,3,7278.2615126115825
8,3,8567.310410197673
9,3,8666.314239366062
10,3,9835.040252264744
11,3,11859.42241108253
12,3,11515.644571715136
13,3,13725.825119373503
14,3,15958.77741630159
15,3,18392.35905817891
16,3,19155.43405074419
17,3,18512.327839913043
18,3,18076.289112874845
19,3,17204.53601574993
20,3,17237.630688707955
21,3,17043.132136703418
22,3,18194.301387664244
23,3,17901.36336040657
24,3,17299.32883883547
25,3,16173.638978681749
26,3,15372.528388746638
27,3,13364.822444953199
28,3,11278.629875840688
29,3,9648.141964148848
30,3,8705.99682247934
31,3,7422.411360570572
32,3,7271.0531413921635
33,3,8020.538113781011
34,3,7819.555155112563
35,3,8398.460206111233
36,3,9254.49468954195
37,3,9914.95407918128
38,3,12502.169892999867
39,3,12687.707617352498
40,3,12652.725236256945
41,3,12604.407671497065
42,3,11913.43208255353
43,3,11189.655731056377
44,3,10348.424580520765
45,3,10306.503239611333
46,3,11250.201569038722
47,3,8714.603983272547
1,4,6184.023859054499
2,4,6130.090408863969
3,4,5871.374251949887
4,4,5613.952251029214
5,4,4405.629137537494
6,4,3826.5782458838657
7,4,3357.2476845126916
8,4,3141.259379650689
