iter,lower_bound_batch_avg
1,81538.2435545523
2,154880.75485264885
3,205442.56599621673
4,476904.8350097457
5,461312.9999695331
6,736825.5132272561
7,706973.3496308906
8,788344.2365874812
9,763311.0972069014
10,820833.0576509874
11,782638.2594325739
12,704564.8544950178
13,643911.7290902729
14,708292.9264313756
15,794622.3871907019
16,652190.4906567729
17,784920.402192804
18,650783.2199524804
19,710668.3814299775
20,439773.0016717573
21,749644.8734054661
22,807990.8145627521
23,779084.2675978879
24,488814.1695030031
25,787996.350587621
26,726556.4242501678
27,602951.4302214658
28,599112.5700017655
29,613878.0360647211
30,694305.6014341183
31,575358.7821447117
32,646437.7055122547
33,660113.3602865122
34,730918.2122257832
35,699698.8374936464
36,685807.5188288931
37,689702.5229252651
38,709964.0716989601
39,585717.0145965798
40,725620.5951778677
41,625376.9859817936
42,550755.0008753082
43,597902.0842972547
44,661041.3129518746
45,714275.0627782753
46,629626.6723698322
47,743338.2422320454
48,610348.1570066268
49,827906.2630110872
50,614845.4465735763
51,538759.555998577
52,622449.1636804418
53,623170.1940246134
54,723853.8943105885
55,815818.1857164602
56,489971.35925208963
57,899167.1998024213
58,928614.1596880264
59,545322.0975007387
60,585722.2151090461
61,832129.9401262216
62,775962.7468648909
63,887217.4191987634
64,483726.83619450993
65,807329.424156737
66,738977.110167007
67,717382.880478022
68,793697.6469446245
69,729807.6801868221
70,703070.9299084741
71,683465.8552066372
72,677267.4441795095
73,697516.8706775048
74,667609.3370303116
75,769440.3594713218
76,676098.7318431148
77,788920.0160795625
78,647483.812430266
79,802862.3309644704
80,632972.2470149907
81,672407.6005621087
82,529725.425575781
83,647278.6303280971
84,630583.2120322711
85,768089.4654100995
86,772477.3073018795
87,881483.7179616343
88,687162.0422572056
89,822553.2983368556
90,535780.1909167303
91,730235.891559266
92,645910.9726812113
93,548415.8408494843
94,642989.571457529
95,728986.5278336073
96,527208.2020850354
97,550454.961038373
98,673993.174614578
99,645430.7508796259
100,736758.6239809031
