t,last5_index,Vhat
1,1,5642.813675964258
2,1,5590.8415956744675
3,1,4995.477404927111
4,1,4495.3520500557115
5,1,5614.959622917329
6,1,7290.9111892663
7,1,4459.905801404246
8,1,3637.758659393071
9,1,4906.202276812888
10,1,4815.160842034809
11,1,6321.67405291903
12,1,7140.091317381268
13,1,7986.873884686598
14,1,7563.686189256841
15,1,9847.192710834233
16,1,9747.613501050706
17,1,9690.053479367281
18,1,9083.349124381679
19,1,8038.112955452063
20,1,7705.138506183585
21,1,7552.776667897608
22,1,9072.14367732046
23,1,8473.359533466373
24,1,8054.827155114699
25,1,7836.941085810728
26,1,7484.795533939065
27,1,7270.328120030711
28,1,6192.339732721757
29,1,5494.85563819389
30,1,4818.102482830226
31,1,4382.8980857233355
32,1,3874.2681241362316
33,1,3294.838273797609
34,1,3126.0641892884446
35,1,4804.21263349619
36,1,5416.295831802504
37,1,5806.275374052137
38,1,5866.894946931846
39,1,5809.731173235856
40,1,5663.465068891035
41,1,5998.012750605539
42,1,5617.182053697576
43,1,5174.810430006664
44,1,4983.244597062465
45,1,6768.866445627975
46,1,8680.454402362622
47,1,7875.159296682097
1,2,6053.710642769101
2,2,6115.569618225196
3,2,5623.1305983518705
4,2,5111.227139980179
5,2,3909.053197754609
6,2,3283.195575086615
7,2,2962.4520706934372
8,2,2589.9065995146093
9,2,3779.6645124467227
10,2,5081.448631422314
11,2,6582.540981630953
12,2,8799.638753677751
13,2,25687.597871835977
14,2,26680.176523609975
15,2,28855.51927650211
16,2,32251.362570850084
17,2,31816.509604319
18,2,30873.517219564957
19,2,29312.59758951972
20,2,28930.001991461704
21,2,28492.908703538902
22,2,27809.94787363724
23,2,27139.645024346995
24,2,26010.89862597339
25,2,24591.82009850924
26,2,23099.95493831567
27,2,21514.015708260093
28,2,19814.833853653952
29,2,17821.91164234815
30,2,16308.773454019854
31,2,15399.789442863697
32,2,14125.91817953534
33,2,12090.582924684275
34,2,13176.076394436159
35,2,13396.760156349903
36,2,15709.129868712385
37,2,16492.461713040382
38,2,19639.548416382262
39,2,19383.633651572665
40,2,19191.664309081134
41,2,19706.11303087745
42,2,19041.848826950187
43,2,18120.497866659753
44,2,18361.983343766795
45,2,18701.105716005066
46,2,19822.81065697396
47,2,11091.301161208077
1,3,5842.7027821612
2,3,5700.293384679919
3,3,5261.313530126065
4,3,4441.003614573793
5,3,5379.184749148224
6,3,6214.365782999525
7,3,6621.435327389439
8,3,6290.779618477132
9,3,6122.447986525802
10,3,7438.072358594887
11,3,9146.871008543872
12,3,9885.757015746964
13,3,13217.893494009564
14,3,14526.105436066448
15,3,16646.764382786343
16,3,20204.025392062744
17,3,19487.23521739061
18,3,18881.96374012914
19,3,17520.46180998053
20,3,17449.793380333715
21,3,17009.12595918469
22,3,17027.391147148242
23,3,16264.524205169797
24,3,15355.807011487032
25,3,14217.359001289049
26,3,13021.325374912709
27,3,11736.343045813914
28,3,10510.06236879743
29,3,9219.496205779196
30,3,8829.067016858884
31,3,8107.126973824046
32,3,7588.902444328732
33,3,6781.707945990773
34,3,6970.743709169159
35,3,7188.67736273101
36,3,8416.493314745125
37,3,8654.52079024163
38,3,11375.998928680428
39,3,12056.83047145402
40,3,11920.259342421756
41,3,12273.738695855602
42,3,11582.987572246646
43,3,11160.523821868379
44,3,10918.153822980643
45,3,11293.952675633947
46,3,10438.347944488218
47,3,4434.856413979026
1,4,5855.44707917279
2,4,5894.626731546372
3,4,5619.6931313502855
4,4,5356.152976188171
5,4,4203.458716344803
6,4,3664.871183005108
7,4,3231.831930262283
8,4,2806.218192607642
9,4,2717.5485626521013
10,4,4072.494865911318
11,4,5593.515065212159
12,4,7651.6688265122475
13,4,10668.539953012736
14,4,12380.551172386255
15,4,12924.301211826041
16,4,13024.366767503881
17,4,12490.240801002526
18,4,13647.658435733127
19,4,12670.67153990201
20,4,10669.47287169113
21,4,10151.910144569765
22,4,9587.813410370416
23,4,10803.175369649542
24,4,10479.239966105742
25,4,9398.858714991773
26,4,8386.682326151002
27,4,8321.847783215628
28,4,7304.584934558676
29,4,6428.680668499426
30,4,5813.576239848966
31,4,5117.367505350029
32,4,4439.4682965452275
33,4,4107.861333250166
34,4,4243.842553834618
35,4,3819.1393930178447
36,4,4030.502813157261
37,4,5476.695214216752
38,4,7367.333268437021
39,4,9249.925553290712
40,4,10770.130485667223
41,4,12611.280057403052
42,4,13778.92398803935
43,4,14807.576188226127
44,4,16791.60555131012
45,4,17660.981664534243
46,4,17923.38913966179
47,4,12671.327378451007
1,5,5574.092038368599
2,5,5539.678436804315
3,5,5485.462067088828
4,5,5042.542727327001
5,5,4129.961484244365
6,5,3239.168171965307
7,5,4100.423520182358
8,5,5175.843481593596
9,5,6375.3585937846165
10,5,7718.520370833185
11,5,9317.24252990311
12,5,11745.997877678243
13,5,15428.365168625729
14,5,16679.038054228622
15,5,18927.376885750404
16,5,21988.15311389892
17,5,23528.398595433322
18,5,24607.83766543879
19,5,25322.32090273564
20,5,27566.382412397215
21,5,25256.74055668105
22,5,24697.564579238533
23,5,24034.83230850941
24,5,23502.46942824425
25,5,21873.71262157338
26,5,20448.541751188488
27,5,18872.065488800403
28,5,17278.893941568294
29,5,15885.105774175277
30,5,14531.114589644712
31,5,13458.182661727222
32,5,12265.177383323153
33,5,10861.538333508044
34,5,11611.551392719943
35,5,13215.552976853543
36,5,15599.666703993431
37,5,18035.502899652598
38,5,21444.6784407201
39,5,26093.399360471485
40,5,24578.368245374164
41,5,25222.02692263521
42,5,26347.917737549258
43,5,25552.679984743227
44,5,25464.190002664604
45,5,30470.18057298185
46,5,28790.92522656064
47,5,18747.927757606274
