t,last5_index,Vhat
1,1,6090.378837565541
2,1,8212.735921059042
3,1,7490.426860365152
4,1,6701.4888240082955
5,1,7766.611427963846
6,1,9373.639617288092
7,1,6403.877861156869
8,1,5561.224457919267
9,1,6867.324523381616
10,1,8372.879966994566
11,1,9969.311402616102
12,1,11795.373521215866
13,1,11986.120625628853
14,1,11939.317927688844
15,1,14423.63652232279
16,1,14212.22640982714
17,1,14188.006668481741
18,1,13164.779932998503
19,1,11940.069703069374
20,1,11397.422317892328
21,1,11300.46240771006
22,1,11619.129368894717
23,1,11165.887660594653
24,1,12606.744279654828
25,1,12716.690380633307
26,1,12269.200842926088
27,1,11533.17725880619
28,1,10020.967173316705
29,1,9214.545941895678
30,1,8343.52096161712
31,1,8130.108363662438
32,1,7400.079616155162
33,1,6449.143334184006
34,1,5860.407469329156
35,1,7255.383821029884
36,1,7704.05030225143
37,1,8188.635840704402
38,1,8090.269739616174
39,1,8750.107043367958
40,1,8594.357865661945
41,1,8817.623561998975
42,1,8080.919855317909
43,1,7366.441929510587
44,1,6744.57676132868
45,1,6678.228778674993
46,1,8611.973803912826
47,1,9045.297511521978
1,2,6446.701181486416
2,2,6464.782796946807
3,2,5923.588143000287
4,2,5320.617188094594
5,2,4158.888291377721
6,2,3566.088006694359
7,2,4594.679231964967
8,2,5517.725978568531
9,2,6833.966764802457
10,2,8358.138535243563
11,2,9979.116219311343
12,2,11898.271932185853
13,2,26092.7057098046
14,2,28960.6664574576
15,2,31465.310324969538
16,2,33815.44482409666
17,2,33630.17816475095
18,2,31786.132003804658
19,2,30367.085277067585
20,2,29879.99010492437
21,2,30082.068826480554
22,2,30471.23311098621
23,2,29891.512159711652
24,2,28832.64031178494
25,2,28079.7298585694
26,2,26912.94258381238
27,2,25377.47278009468
28,2,23695.253307558174
29,2,22034.866489673273
30,2,20514.41720564588
31,2,20628.554763410604
32,2,19217.088056919943
33,2,17563.708750748916
34,2,16620.71016170021
35,2,16070.99988954041
36,2,16886.54213129359
37,2,17764.19695563528
38,2,19612.143504439962
39,2,21152.317837016028
40,2,21496.521879820233
41,2,21953.36321608805
42,2,20647.312452338323
43,2,18778.314531991407
44,2,17532.264461394254
45,2,19035.021106916618
46,2,19704.15479503521
47,2,10586.37691410144
1,3,6235.693320878516
2,3,6052.296059752081
3,3,5566.032471612913
4,3,4609.168596302753
5,3,5782.099775254836
6,3,6845.8876964937845
7,3,7629.028615131746
8,3,8511.161177437185
9,3,9792.517486597662
10,3,11363.970213703797
11,3,13064.501938864167
12,3,14757.710217993601
13,3,16703.622029355276
14,3,19185.78662604417
15,3,21414.05784024908
16,3,22573.08705439054
17,3,21921.78021991797
18,3,20691.037186024125
19,3,19432.865858088586
20,3,19343.400316651503
21,3,19363.569225558404
22,3,20286.109662442173
23,3,19753.174920107744
24,3,18979.836375884195
25,3,18411.927289095554
26,3,17314.04143186802
27,3,15646.328103223368
28,3,14062.020891769414
29,3,12846.497707368342
30,3,13456.650364663663
31,3,13562.145830055844
32,3,14213.274330158787
33,3,13085.460960945806
34,3,12309.46495031023
35,3,12985.746462516032
36,3,13958.744142075559
37,3,14390.350871900862
38,3,16561.558749375574
39,3,18978.21781370893
40,3,19279.82992099124
41,3,19743.217737381827
