iter,lower_bound_batch_avg
1,81538.2435545523
2,154880.75485264882
3,205442.56599621667
4,476904.8350097456
5,461312.99996953306
6,736825.513227256
7,706973.3496308906
8,788344.2365874812
9,763311.0972069013
10,820833.0576509874
11,782638.2594325739
12,704564.8544950178
13,643911.7290902729
14,708292.9264313754
15,794622.3871907019
16,652190.4906567727
17,784920.402192804
18,650783.2199524803
19,710668.3814299775
20,439773.00167175726
21,749644.8734054661
22,807990.8145627519
23,779084.2675978878
24,488814.1695030031
25,787996.3505876209
26,726556.4242501678
27,602951.4302214656
28,599112.5700017654
29,613878.036064721
30,694305.6014341182
31,575358.7821447115
32,646437.7055122545
33,660113.3602865121
34,730918.2122257832
35,699698.8374936464
36,685807.5188288928
37,689702.5229252651
38,709964.0716989601
39,585717.0145965797
40,725620.5951778677
41,625376.9859817936
42,550755.0008753082
43,597902.0842972546
44,661041.3129518745
45,714275.0627782752
46,629626.6723698322
47,743338.2422320453
48,610348.1570066268
49,827906.2630110871
50,614845.4465735763
51,538759.555998577
52,622449.1636804417
53,623170.1940246134
54,723853.8943105884
55,815818.1857164602
56,489971.3592520896
57,899167.1998024211
58,928614.1596880263
59,545322.0975007387
60,585722.215109046
61,832129.9401262216
62,775962.7468648909
63,887217.4191987634
64,483726.8361945099
65,807329.424156737
66,738977.1101670068
67,717382.880478022
68,793697.6469446245
69,729807.6801868221
70,703070.9299084741
71,683465.8552066372
72,677267.4441795095
73,697516.8706775047
74,667609.3370303116
75,769440.3594713216
76,676098.7318431147
77,788920.0160795625
78,647483.8124302658
79,802862.3309644704
80,632972.2470149905
81,672407.6005621087
82,529725.4255757809
83,647278.630328097
84,630583.2120322711
85,768089.4654100995
86,772477.3073018795
87,881483.7179616343
88,687162.0422572054
89,822553.2983368554
90,535780.1909167301
91,730235.8915592659
92,645910.9726812111
93,548415.8408494843
94,642989.5714575289
95,728986.527833607
96,527208.2020850354
97,550454.9610383727
98,673993.174614578
99,645430.7508796258
100,736758.6239809031
