t,last5_index,Vhat
1,1,6135.320842873642
2,1,8211.833848035105
3,1,7529.741538917135
4,1,6706.910536314297
5,1,7640.5915589568485
6,1,9270.723659806565
7,1,6395.6194442895985
8,1,5679.477361191311
9,1,6516.714708278349
10,1,5955.878159008251
11,1,6301.251078796237
12,1,7245.257009995158
13,1,7583.978875472425
14,1,7528.978267992162
15,1,9677.351599700352
16,1,9108.643309596308
17,1,9146.575042139366
18,1,8667.115666815707
19,1,7853.393871963572
20,1,7546.6494800314085
21,1,7350.053313196779
22,1,8996.94306237913
23,1,8500.18528799586
24,1,8104.289605071911
25,1,7892.237053815513
26,1,7630.705539936103
27,1,7402.329698105064
28,1,6221.461963943674
29,1,5532.404707147598
30,1,4814.460518131886
31,1,4378.167643004345
32,1,3899.1467855850515
33,1,3624.2760663561335
34,1,3346.968177722289
35,1,4955.752517149962
36,1,5029.065186767871
37,1,5340.535221432058
38,1,5245.843342468204
39,1,5210.7091290857925
40,1,5099.0368420415625
41,1,5396.173477542879
42,1,5169.707435383178
43,1,4794.160232441785
44,1,6179.8703817160485
45,1,7000.147501881018
46,1,8371.013930753568
47,1,8923.471883693746
1,2,6481.140547450177
2,2,6477.6414828711895
3,2,5958.853507532342
4,2,5334.135336631287
5,2,4124.5113260499675
6,2,3529.467997329575
7,2,3226.3883566491068
8,2,4495.195413820587
9,2,5425.293357245984
10,2,6212.953852906616
11,2,7922.154777449239
12,2,10728.06316869816
13,2,24743.13720940704
14,2,27491.395118782533
15,2,29323.472562621137
16,2,30593.482059289083
17,2,30433.825910103857
18,2,29989.074126341966
19,2,29335.93303409362
20,2,29181.559543126197
21,2,28486.21040539787
22,2,28255.717993250466
23,2,27975.42749365535
24,2,26971.711370068246
25,2,25638.580019175763
26,2,24621.456916889736
27,2,23001.38723434537
28,2,20808.697731617714
29,2,18716.57302199157
30,2,16933.415699743724
31,2,15952.908101405614
32,2,14808.093709080136
33,2,14434.213574430365
34,2,14204.66592578484
35,2,14290.220140109644
36,2,15751.36827157092
37,2,16309.002573217165
38,2,20332.36227261484
39,2,20293.91955577357
40,2,21407.393847834308
41,2,22939.501927769543
42,2,24605.024510237185
43,2,25545.21749694668
44,2,25506.53967936778
45,2,20081.384525847912
46,2,21075.34881571647
47,2,17490.882496399016
1,3,6270.132686842277
2,3,6065.213512947961
3,3,5601.745419357458
4,3,4618.558145310206
5,3,5657.1431798302
6,3,6707.38804562408
7,3,7615.240725534848
8,3,8689.611220368453
9,3,9252.696680360634
10,3,9685.648423114233
11,3,11730.15513052808
12,3,13079.407025905026
13,3,15760.121806097817
14,3,18334.599594858166
15,3,20395.363678586873
16,3,22427.09022917603
17,3,21862.264215548395
18,3,21507.61638784262
19,3,20567.69692584968
20,3,20764.18036487618
21,3,20048.803391376685
22,3,20364.253142782036
23,3,19899.29338477167
24,3,19116.53575906363
25,3,18022.56669455645
26,3,17039.709753756877
27,3,15462.086552930152
28,3,13704.534564617621
29,3,12015.921314424912
30,3,12417.360567142889
31,3,11408.264807558782
32,3,10858.852475858957
33,3,11049.161160663021
34,3,10940.87134189183
35,3,12714.222083823262
36,3,14354.446352703128
37,3,15011.325239339303
38,3,17556.23102618197
39,3,18444.7579711055
40,3,18945.295812685006
41,3,19886.199389837002
42,3,20283.902568361278
43,3,21100.87157240911
44,3,20433.497756293047
45,3,18405.687487477815
46,3,17540.96559183928
47,3,15774.88969046062
1,4,6282.8769838538665
2,4,6258.809933357203
3,4,5962.137249899772
4,4,5587.59840214442
5,4,4433.810033044687
6,4,3935.1138100034486
7,4,3479.9864580349335
8,4,3220.4057837800838
9,4,4321.62079002648
10,4,5262.8443299662395
11,4,6967.602157250411
12,4,9378.782176622162
13,4,11760.60939418986
14,4,14301.493212168396
15,4,14523.704914514688
16,4,13847.465579672002
17,4,13422.38014282081
18,4,14745.651877019518
19,4,14056.942939506858
20,4,12161.024503288234
21,4,11545.866900897921
22,4,11145.768474888635
23,4,12557.654255824196
24,4,14063.05484319603
25,4,12943.831139022042
26,4,11992.594136963222
27,4,11654.221460747027
28,4,10229.210400082004
29,4,9021.8711000669
30,4,8183.076888209389
31,4,7294.9074244801595
32,4,6560.693932092094
33,4,6673.255637265666
34,4,6610.957083665951
35,4,6341.1542257137025
36,4,6099.259651109248
37,4,7661.3238778101995
38,4,9513.415675026692
39,4,11313.26146814943
40,4,13116.457761029924
41,4,15171.115901855228
42,4,17078.894459628802
43,4,19661.151094611327
44,4,20905.819941251695
45,4,19064.05461428438
46,4,18399.836839106643
47,4,16704.499627669775
1,5,6128.841264976973
2,5,8161.706042024993
3,5,8020.889369604874
4,5,7301.726707204591
5,5,6135.441601385875
6,5,5177.3157342497325
7,5,6235.887327469637
8,5,7417.07093973604
9,5,8127.769910381436
10,5,8686.37027226487
11,5,10545.54466602267
12,5,13424.341230892554
13,5,16163.027072349018
14,5,18775.756950961128
15,5,20853.54892397421
16,5,22075.92792235475
17,5,23480.387344454335
18,5,24793.583752998617
19,5,25502.03281581084
20,5,28094.17034689012
21,5,25388.198307243874
22,5,25248.859082092582
23,5,25097.26034121815
24,5,24916.528011203438
25,5,23574.702348627092
26,5,22716.144109303124
27,5,20995.422161386523
28,5,18819.59498127015
29,5,17093.17785474012
30,5,15466.299418121771
31,5,14296.81373885727
32,5,13251.778695833435
33,5,13468.008876065926
34,5,13454.731326099449
35,5,15329.811546069603
36,5,16195.743126778409
37,5,17885.379767922026
