iter,lower_bound_batch_avg
1,80702.41743585565
2,145653.82330033364
3,358844.9043296341
4,737219.4138605783
5,581135.4468330127
6,592528.8590184604
7,623044.6932850676
8,744330.0087783658
9,594696.0657876842
10,533869.2501525295
11,850163.6392249272
12,589400.8689952686
13,929224.4801431336
14,845952.183143112
15,774851.278093564
16,652752.9742907984
17,730367.396061553
18,760867.1409612171
19,715789.5880586221
20,568205.4469751313
21,492850.52519618766
22,769423.9331748157
23,713064.5130934257
24,855986.216581986
25,638213.5246796
26,605793.2470025087
27,613522.5992589933
28,755821.2806777088
29,852889.0577651238
30,797464.875558815
31,706427.2632504847
32,651915.7822632744
33,592770.7174457543
34,476134.2656046826
35,591494.376144473
36,537075.2212009575
37,895138.2388550036
38,541103.0408117351
39,519809.330631442
40,746124.1102805295
41,573858.1992913153
42,892866.4544936175
43,406980.46652758
44,655838.6878728291
45,758069.7327503866
46,833868.1760553585
47,699077.3632608919
48,646333.5546492769
49,662490.6193271428
50,701719.5480278081
51,577094.3420643983
52,670766.5006601041
53,731193.4203992027
54,812031.3106493179
55,783086.5185212058
56,728997.8237176338
57,647737.2889727657
58,800936.2748404256
59,742117.716877088
60,475391.7831259967
61,723575.1719242181
62,715553.2629242061
63,749290.5531884679
64,667744.243780564
65,774263.557480186
66,647407.8080234743
67,706261.9467881748
68,732673.0064784102
69,645036.7039216406
70,854818.2815621424
71,658024.7903170683
72,695019.1241590446
73,644424.6160785935
74,803586.369052993
75,781983.64769739
76,716132.7954286314
77,564357.0731057762
78,840559.2622286654
79,739007.7624733275
80,671370.1734287718
81,827603.0197494015
82,615591.8411397375
83,831761.2383808726
84,857367.3303334865
85,526237.9351515272
86,545708.7878131235
87,666866.9733038493
88,608949.095569755
89,734681.3922285428
90,545427.4994657785
91,776458.1119386416
92,844569.9973299021
93,743969.1517458395
94,579338.280270452
95,669973.2377219261
96,561994.5150110424
97,493773.6903269019
98,706524.7144301105
99,606784.959540547
100,623595.0152489196
101,542952.0488368995
102,786111.7034105423
103,769945.1114697382
104,676572.8125947076
105,789532.6845782887
106,713728.6737269633
107,902853.2130374504
108,599720.0776224174
109,716275.3677088609
110,581845.8504271742
111,981153.2653440535
112,747061.4929615259
113,535573.3165943912
114,828323.9231750937
115,725675.8077496345
116,793212.4054281977
117,624265.4554534828
118,673228.7471478023
119,801948.8876107725
120,587820.9704171973
121,618987.7195195892
122,815240.4786063987
123,671946.6773841039
124,781570.1403540885
125,701424.1053213581
126,858196.1215401539
127,626241.2346671259
128,653393.8612699431
129,683806.5744605664
130,760935.8104779869
131,730508.9274769216
132,650686.5810678151
133,582151.8096448515
134,694421.8239514314
135,524386.4395335724
136,792082.7067744025
137,659799.5938378886
138,594704.7681143654
139,680166.4829755041
140,659209.5351289709
141,790954.7118164981
142,670862.1458924381
143,773889.819666473
144,662974.6213078194
145,658584.2655576299
146,581980.33694152
147,700696.52708804
148,713120.8546327832
149,529919.6514380671
150,783473.576428239
151,704196.051569405
152,708769.5611736871
153,661731.930081101
154,827835.3295802379
155,890028.7189107211
156,712029.6977714798
157,446931.38259504497
158,1081672.434197043
159,819988.1176876978
160,726214.8574146917
161,848211.0893808969
162,682182.9869352933
163,739335.1029585653
164,827594.0516759675
165,815053.7957473167
166,852783.3259878411
167,573223.6574420172
168,553463.4079136279
169,844651.998838612
170,533041.8176531034
171,735584.8584772589
172,794798.0792282197
173,646280.1052847344
174,878132.4369169145
175,569547.7539449573
176,482221.795592095
177,828539.6591141598
178,699860.1994379014
179,488298.4440772153
180,637246.4578450485
181,579207.5508566302
182,750564.2760060343
183,1009111.5995724623
184,703164.5181193699
185,667809.3160981664
186,764787.7489767584
187,638326.646540201
188,637953.8319440439
189,804871.9703610332
190,693988.4624348205
191,744320.6394251959
192,783860.985763609
193,609000.3377373447
194,690174.3256580218
195,681728.8765221207
196,659789.1262777781
197,746902.607930029
198,872279.3248055317
199,579213.1940809293
200,532699.6558890257
201,773463.2185307152
202,488274.9632472858
203,799911.2187981955
204,622632.0428246325
205,585719.0342798065
206,800579.4939708002
207,705112.4802929149
208,669538.8887367658
209,692197.8017954407
210,548989.0526654245
211,779937.8665906233
212,667056.460235825
213,872316.0751549986
214,731950.3069967872
215,576551.2322703185
216,843367.2063770941
217,666811.0813004774
218,580543.3993909496
219,876689.073596748
220,829598.3185778019
221,672034.9324883334
222,574698.2959197017
223,511094.5164170059
224,708823.050543889
225,734397.7958441311
226,830097.8011961996
227,724327.66429223
228,531012.2817999794
229,801665.1057645101
230,801809.9408232297
231,747998.8619349137
232,586894.4957735549
233,449356.16038327967
234,842407.3472812446
235,678677.8682990419
236,665449.0438654952
237,665300.0900968693
238,597972.9147286647
239,688376.8806093123
240,657282.7310331174
241,722278.9655032863
242,525522.453373954
243,760639.3240907234
244,603150.0192134634
245,784040.630060563
246,701000.4573502137
247,627002.9709166221
248,471104.2292823532
249,680250.29341882
250,609434.6427705461
251,476104.9431353143
252,759556.5112985839
253,722684.9381567196
254,634972.5101525816
255,698216.2994077606
256,654229.4120737988
257,724381.8835240821
258,800326.4574656298
259,791466.2581782683
260,705267.714287848
261,595960.2054918099
262,696436.8350862823
263,567796.5574731431
264,465799.634662286
265,669138.1372188804
266,531098.4744271331
267,790001.1744489569
268,729820.8635056394
269,593184.1606962208
270,749494.1715785495
271,587209.5293859125
272,559355.1143578491
273,585318.4496228407
274,853362.4328670681
275,488876.2822076018
276,709270.9051912511
277,721168.5985928676
278,937098.317220682
279,627871.5627581581
280,618439.2956806463
281,693182.8342184181
282,687517.9258835224
283,795929.3123154718
284,487787.5769950645
285,802355.9196912134
286,931833.518490975
287,841593.080170041
288,785458.6042351017
289,892883.4536214566
290,760509.288324463
291,752673.1169162826
292,938528.7935076025
293,900103.3574965724
294,880842.4744922693
295,679821.3838639816
296,617402.1267358683
297,692671.6988255049
298,566938.5912673392
299,677142.1677909633
300,682246.9702144768
301,784305.0188382455
302,685596.6247099085
303,892675.6518329728
304,666439.2922278016
305,720763.6180806289
306,721336.2891175846
307,595975.043654724
308,552557.3611465532
309,585247.9037223634
310,839583.8485670981
311,404005.90433414874
312,737827.4358515486
313,635447.3240605887
314,519425.47420364234
315,765572.8779736711
316,465812.23005608714
317,728085.2344098713
318,616428.5591306428
319,653248.2715188079
320,523562.15278189094
321,812593.2047707606
322,616821.0348466206
323,819972.6631062588
324,556881.8876486444
325,691890.7972095782
326,620555.6498967509
327,503752.7878669731
328,736402.739159631
329,663749.4432837332
330,591946.895192262
331,661488.7621500039
332,769527.862721673
333,547837.2163921604
334,833385.3259939596
335,637036.8331059687
336,598948.757333495
337,698554.336514692
338,631365.5792301515
339,671873.3269471277
340,739404.4366171488
341,726217.426323924
342,589647.7986619091
343,688584.7223726383
344,688341.054986448
345,711685.5795517976
346,586509.3537627215
347,666048.0765012003
348,761825.9775549839
349,674734.5867037803
350,517653.90954401507
351,620946.8436576307
352,557325.3416358549
353,736807.6586231976
354,842980.3418052637
355,795118.2263860679
356,463793.64686249336
357,749843.213232435
358,713353.574869877
359,701057.098286455
360,674947.7845011447
361,804072.7914338084
362,889077.290094821
363,823336.272093314
364,625741.2514883017
365,639396.4485071235
366,568759.6163649736
367,703695.4529381744
368,685514.3237269619
369,585377.5912266355
370,751409.3934322523
371,607500.4696270453
372,814844.2070589223
373,710938.9454065766
374,858873.2380672224
375,535962.6144401901
376,527570.7850551507
377,546016.6123623631
378,756453.9972290946
379,768939.2609041845
380,782572.6581055821
381,759706.2735004727
382,730583.9021148968
383,748696.1321023519
384,699791.1004975314
385,604316.4419696529
386,575520.0591167447
387,424740.47426970914
388,693206.5411815967
389,537685.5297870692
390,603072.1454154716
391,589424.4771181534
392,644771.859764998
393,892727.3340149826
394,597319.8135945197
395,721832.2623840338
396,652077.1007079637
397,934553.526594753
398,716027.8837302478
399,1024744.4076764605
400,929993.2574010664
401,663599.8540901279
402,680320.4112683958
403,570742.7901387934
404,578163.0441159613
405,723126.2063802474
406,522873.0840006995
407,525369.8341643263
408,873438.0905509499
409,666361.9469026788
410,633498.8368174647
411,398207.2749083402
412,614707.0319225627
413,725902.0106324175
414,692840.053956135
415,768554.3680595297
416,494899.12855525914
417,878286.7378962638
418,658635.2258983993
419,720728.4002557504
420,562094.4247432672
421,705648.5110963376
422,615854.002110169
423,562870.9997365742
424,689541.8304446405
425,606937.2322006503
426,723398.6366133486
427,420005.6223502429
428,907798.5126405619
429,563495.1221746027
430,764357.2742289214
431,697425.7310862679
432,717503.8947698053
433,746638.8895371319
