t,last5_index,Vhat
1,1,5826.99342604057
2,1,5735.595539805908
3,1,5131.223558742727
4,1,4885.622238194423
5,1,5762.521624180183
6,1,7417.149203759838
7,1,4678.9290037148585
8,1,4031.070472859706
9,1,5495.127663212834
10,1,7145.328367644308
11,1,9055.349322293394
12,1,11267.226499762353
13,1,13458.08666940401
14,1,13498.819650579264
15,1,15509.267084240868
16,1,15012.621974430314
17,1,14780.089586467977
18,1,13879.528397476477
19,1,12652.97366180304
20,1,11950.713423497775
21,1,11491.967105535728
22,1,11605.723071001583
23,1,11347.850296395503
24,1,12830.307804882219
25,1,12585.479410109925
26,1,11968.898864867786
27,1,11386.304695489824
28,1,9789.209634613744
29,1,8682.536030687232
30,1,7653.5547271351115
31,1,7253.844011383212
32,1,6831.162247027003
33,1,6456.273785825726
34,1,6180.550022401794
35,1,8052.874295242215
36,1,8551.721237239148
37,1,9331.39176133882
38,1,9334.59543104042
39,1,9429.707022166116
40,1,9197.473703053032
41,1,9141.688970021998
42,1,8617.505982535273
43,1,8223.193142472788
44,1,8156.830678297156
45,1,10090.76169094987
46,1,10494.235432618443
47,1,10397.125594320942
1,2,6237.890392845412
2,2,6259.134573474327
3,2,5756.3592640136085
4,2,5308.752529946234
5,2,4000.406830486364
6,2,3378.1286695229333
7,2,3078.6681417011014
8,2,2876.198200817234
9,2,4313.934511357205
10,2,5927.895161796656
11,2,7784.10425550647
12,2,11047.773086914545
13,2,25519.263084635048
14,2,28225.64908911409
15,2,30059.395407969907
16,2,31489.47280586863
17,2,30897.88511149382
18,2,29758.223933534413
19,2,28645.562316109597
20,2,27984.19998529032
21,2,27509.655841157135
22,2,27625.82814921799
23,2,27860.21754876399
24,2,27267.75365215731
25,2,26337.622359415218
26,2,25213.958535385165
27,2,23600.963578432817
28,2,21180.558770828222
29,2,18780.560923794143
30,2,16969.166142442788
31,2,16820.536054436063
32,2,16273.477830973896
33,2,15884.042359205414
34,2,15903.977107186956
35,2,16668.88655144171
36,2,17953.669587685
37,2,19203.391818818975
38,2,23001.87780986556
39,2,22476.508653305522
40,2,22560.519649697973
41,2,22559.57240101006
42,2,22427.93493929601
43,2,22601.06004259885
44,2,22594.528184262745
45,2,20483.403652349116
46,2,15106.456014011272
47,2,10963.838027962454
1,3,6026.882532237511
2,3,5844.6676493145305
3,3,5395.825103203839
4,3,4827.140282588896
5,3,5578.519348347849
6,3,6393.61333702538
7,3,7202.276532219441
8,3,8183.01681231833
9,3,9764.204293713057
10,3,11622.016936055606
11,3,13841.297536226783
12,3,16392.823553851216
13,3,18941.257110677252
14,3,21399.099178806864
15,3,23332.72660160013
16,3,25638.953022873695
17,3,24598.76092653782
18,3,23494.386458133165
19,3,22223.03067353342
20,3,21857.596777520477
21,3,21260.24252421853
22,3,21963.505205438516
