iter,lower_bound_batch_avg
1,79090.98501787937
2,176972.47754778634
3,398432.4357781303
4,434860.4873110531
5,539136.4492594653
6,517109.245510479
7,871545.4553561659
8,888818.4608879187
9,593485.0013903584
10,1018147.3487757191
11,610504.8975077507
12,632595.684460859
13,845156.5690863072
14,511081.13184244494
15,634273.6351853661
16,667103.019175401
17,999184.7176738866
18,625906.6929607213
19,726654.3639136753
20,860602.6728156087
21,611020.9512577244
22,708974.9256794779
23,842717.1083107437
24,535662.877169342
25,537972.0088985541
26,709290.4801707306
27,757570.6314369102
28,880991.5826348197
29,582100.6158129569
30,752104.8938916718
31,649296.6848859553
32,647744.8192572824
33,652782.914616816
34,669726.2098877765
35,687886.9607885876
36,550711.196238694
37,675146.8593556706
38,498664.4687703271
39,740792.1855199449
40,701148.3973375983
41,795333.8140417229
42,697768.6971922601
43,711758.7082851656
44,682030.2945158563
45,486548.9985057309
46,894603.5976958829
47,698332.4480473015
48,619122.2921298613
49,507489.68332073744
50,700018.5282822056
51,782437.6458235292
52,725774.0529802998
53,712354.7569319168
54,595645.4037702178
55,597207.9124957864
56,699281.8118785673
57,399562.16274299094
58,640360.3315488321
59,582722.184033647
60,782652.766319158
61,581425.8175629273
62,624469.5309367839
63,898948.826824906
64,639940.8955896008
65,802149.5236601554
66,555773.42025674
67,657247.0754975716
68,533070.6809140866
69,824108.6743704536
70,569933.5168741602
71,842571.9331306071
72,729966.1032168695
73,699594.3270992464
74,528687.0824801972
75,702563.8776922212
76,846120.3143508688
77,811788.4284572576
78,779008.7056128944
79,842656.982970098
80,652863.6758080807
81,711642.3334864798
82,799911.6964588952
83,889735.576053547
84,714925.3382046125
85,1007155.5941398384
86,853274.2659569243
87,821794.4850361365
88,586174.6499804785
89,636233.1591739244
90,798626.2462916169
91,707410.1423119325
92,480177.690698188
93,752717.9215136573
94,587770.2628609095
95,818058.6280011821
96,740840.730528312
97,637621.4601724364
98,680752.2864338774
99,823074.5926079222
100,922494.185418545
101,640281.0260770961
102,757329.4791544462
103,536637.9017203308
104,825422.3975385821
105,732322.8719235703
106,895297.070746883
107,483123.63040688826
108,503103.69318516675
109,570648.9826052969
110,688331.062992438
111,801635.2348343858
112,777389.6672412801
113,820757.4011839429
114,623144.0548445605
115,831987.7952376354
116,761388.6787075291
117,861332.7416308621
118,726519.9264887309
119,792103.7756958661
120,749597.4894715155
121,405073.2443841379
122,614635.4210477998
123,555887.8602852442
124,600772.0777246067
125,614391.3833812682
126,777692.3071122635
127,906627.5295905382
128,718809.6409866451
129,619640.5580289749
130,726268.0334117833
131,488887.86203649663
132,597778.9945988522
133,768274.5059750876
134,871181.7956480156
135,578119.0176580981
