t,last5_index,Vhat
1,1,6020.516594941039
2,1,5979.575446448598
3,1,5381.527164957484
4,1,4966.837654149614
5,1,6186.796795016684
6,1,9493.992194207043
7,1,6694.4330959319395
8,1,6028.528749921697
9,1,7296.749966712057
10,1,8825.742271379786
11,1,10394.06868029593
12,1,12185.409938258936
13,1,12546.137088516658
14,1,12427.656851137715
15,1,15195.261865886707
16,1,14881.39706213821
17,1,14837.030895797128
18,1,13982.780935206512
19,1,12547.81188109736
20,1,11950.951901673365
21,1,11248.312659247364
22,1,10855.581373611252
23,1,9970.501665487098
24,1,9480.271674121605
25,1,9306.192818415795
26,1,9137.909194014679
27,1,9153.884798948788
28,1,8070.768790869075
29,1,7500.626600681445
30,1,6589.8120726656025
31,1,6309.582162181481
32,1,6059.2562563660085
33,1,5501.171549949803
34,1,5470.80948343357
35,1,7301.436474057617
36,1,7479.434561017044
37,1,7859.519190205514
38,1,7590.64259893677
39,1,7185.156951110172
40,1,6467.538361713435
41,1,6035.213137912923
42,1,5119.70447590566
43,1,4270.983943554299
44,1,3701.9467632218966
45,1,3519.0126233026112
46,1,5744.1295034889945
47,1,6703.517439813553
1,2,6431.413561745882
2,2,6500.6941503912185
3,2,6001.026818619516
4,2,5460.785251169524
5,2,4244.199637291879
6,2,3647.69171009155
7,2,4883.437692232013
8,2,5979.835197716391
9,2,7257.354793504808
10,2,8805.197169319896
11,2,10397.930504642358
12,2,12936.294619461587
13,2,26588.881600014392
14,2,29140.31618863021
15,2,32183.964908641814
16,2,34246.48400602518
17,2,33945.92883389744
18,2,32513.22280868674
19,2,30722.726383918318
20,2,30207.44536572256
21,2,28825.743460885948
22,2,27688.773081422034
23,2,26227.932918015387
24,2,25005.144993699018
25,2,23917.13774266273
26,2,23374.02239979878
27,2,22875.76019117288
28,2,21387.409414244386
29,2,19962.80899278539
30,2,18002.329403617063
31,2,18464.67380389259
32,2,19016.89966493872
33,2,18059.495628814246
34,2,18820.36708314032
35,2,19766.25489711886
36,2,21869.405786863288
37,2,22747.474346270905
38,2,25828.17625686011
39,2,23794.801398220156
40,2,21656.492953714624
41,2,19003.806876341172
42,2,16357.966538630253
43,2,14064.909085668096
44,2,13381.055578219697
45,2,12886.729472396742
46,2,18024.63200216977
47,2,13888.561267699011
1,3,6220.405701137981
2,3,6088.158715969961
3,3,5644.158512011376
4,3,4904.614874735578
5,3,6072.41324596098
6,3,7001.419593659488
7,3,8123.007042147705
8,3,9222.870035228003
9,3,10389.798492643404
10,3,11954.356907168403
11,3,13563.048418298633
12,3,15164.961756067896
13,3,17210.001535176503
14,3,19580.34815923155
15,3,22334.106858070812
16,3,24945.74076846949
17,3,24230.280209050496
18,3,23249.113427502336
19,3,21586.01436417925
20,3,21428.489676306788
21,3,20367.32930056303
22,3,20043.522187142673
23,3,18675.66927628096
24,3,17591.15770386185
25,3,16554.56988343573
26,3,15719.365242660511
27,3,14970.733652034203
28,3,13744.365347443447
29,3,12618.994572128988
30,3,11816.188823989318
31,3,11985.542499042984
32,3,12677.794832712001
33,3,12461.021545527965
34,3,12900.291687190778
35,3,14927.793913079468
36,3,16808.422798922486
37,3,17554.253532748568
38,3,19472.31188529048
39,3,19071.397227334302
40,3,17555.314797562438
41,3,15755.439136063362
42,3,13607.452020107594
43,3,12171.209962455776
44,3,11385.30602638009
45,3,11477.864335258388
46,3,13582.168495726659
47,3,10624.456318234123
1,4,6233.149998149571
2,4,6281.5767804315665
3,4,6004.659986417548
4,4,5721.040866140191
5,4,4554.601234820766
6,4,4020.7767105840003
7,4,3609.8278610863113
8,4,4849.990854961098
9,4,6247.329142342589
10,4,7874.617682718218
11,4,9535.921106344065
12,4,11192.177423215982
13,4,13094.434101870653
14,4,15559.702333471283
15,4,16313.520316721657
16,4,15975.874469288967
17,4,15470.957650467086
18,4,16385.98984397207
19,4,15236.649245183431
20,4,13193.391229398636
21,4,12336.613206257589
22,4,11503.921070508064
23,4,10757.788168665173
24,4,10432.001998058615
25,4,9496.95779565857
26,4,8804.716350907098
27,4,9100.128640899797
28,4,8137.644067711607
29,4,7414.157535071026
30,4,6643.082763593791
31,4,6315.365138295976
32,4,6103.8433798865
33,4,6094.2967825735495
34,4,6146.387908269422
35,4,5844.692969525153
36,4,5693.832556194546
37,4,7220.123537944197
38,4,8550.306094055413
39,4,9615.51917821783
40,4,10210.81233087652
41,4,8976.234482771815
42,4,9334.09651141373
43,4,10232.606758609143
44,4,10397.852707264577
45,4,10673.725852727723
46,4,11789.511648943186
47,4,10228.044259421777
1,5,5951.794957345381
2,5,5929.235330671656
3,5,5872.52259622834
4,5,5406.1505167487285
5,5,4477.900232884467
6,5,3729.5777956026905
7,5,5022.77635533423
8,5,6348.180880046178
9,5,7653.203813001555
10,5,9221.258073495555
11,5,10834.399427772869
12,5,12455.967966252414
13,5,14353.848072447863
14,5,16577.92858898123
15,5,19158.044204163292
16,5,20955.89788918611
17,5,22290.70730915495
18,5,23064.44483861696
19,5,23534.638761227456
20,5,25685.1290099073
21,5,22613.18711956079
22,5,21707.83244560675
23,5,20518.54033670346
24,5,20050.04387047347
25,5,18880.24349382823
26,5,18312.202704743257
27,5,17747.23439630386
28,5,16386.31334258581
29,5,15554.870931707268
30,5,13889.448812604478
31,5,13991.676533026803
32,5,14300.707057752852
33,5,14051.513394258634
34,5,14765.434385880591
35,5,16942.016280745942
36,5,18826.84555337121
37,5,21186.359433328078
38,5,23022.14411766458
39,5,25932.229423071396
40,5,22833.276137019857
41,5,20450.581603397768
42,5,18663.858334125736
43,5,17380.963287830986
44,5,16669.141944577957
45,5,20099.966032588385
46,5,20778.50561538431
47,5,18437.70780445282
