t,last5_index,Vhat
1,1,5814.956062720653
2,1,5805.323153185745
3,1,5271.770534468373
4,1,4807.02195102787
5,1,6070.094639317869
6,1,9523.332201347566
7,1,6953.973383387405
8,1,7999.382456081851
9,1,8747.82897518943
10,1,9930.813010863232
11,1,11600.368000432278
12,1,13995.809859940364
13,1,14804.067891311342
14,1,14724.008822049265
15,1,17260.541873084832
16,1,16984.595612413563
17,1,16649.768726613183
18,1,15888.598625940584
19,1,14484.375018654277
20,1,13322.90077490811
21,1,12551.780499759418
22,1,11987.167888665532
23,1,11634.014744003447
24,1,11653.98497545558
25,1,11487.516039715025
26,1,11168.917895570812
27,1,10720.471577325252
28,1,9353.10920923343
29,1,8685.392057022189
30,1,7892.481792725308
31,1,7440.776936373388
32,1,6766.177159976234
33,1,6337.84843400087
34,1,6163.7848896337055
35,1,7977.942744422807
36,1,7996.9625958457855
37,1,8763.684745222301
38,1,8946.082648066556
39,1,8811.943353734765
40,1,8509.085366939293
41,1,8557.2463837159
42,1,7942.5738233423945
43,1,7236.607861546881
44,1,6634.754198834319
45,1,8135.717505216671
46,1,9012.692917531467
47,1,9707.372971119428
1,2,6225.853029525496
2,2,6328.078904432225
3,2,5893.57235476459
4,2,5356.923186788263
5,2,4156.960060125122
6,2,3656.18894166423
7,2,5158.312672348466
8,2,6337.459081750919
9,2,7242.626897487114
10,2,8474.60819335144
11,2,10118.702204280275
12,2,12940.264357835827
13,2,26705.276220974767
14,2,29076.65947807277
15,2,31384.83639935728
16,2,33451.626032419335
17,2,32645.76487069913
18,2,31690.907336896293
19,2,30201.630365812798
20,2,28438.158768085796
21,2,26983.78491571405
22,2,25473.759453994997
23,2,25390.502447417843
24,2,25535.32375330844
25,2,24792.349870531903
26,2,24156.107937265355
27,2,22628.407741444236
28,2,20531.842313105946
29,2,18953.017192250678
30,2,17603.33882767116
31,2,17491.77721313245
32,2,16561.203448886692
33,2,16115.096927644361
34,2,16421.871430488518
35,2,16832.78415955757
36,2,16747.886683722187
37,2,18046.312007266177
38,2,22253.306997157604
39,2,21286.604244289218
40,2,21083.170323748793
41,2,20865.090983703107
42,2,20168.40785135271
43,2,19135.237283827537
44,2,18570.040383927924
45,2,17758.566938669224
46,2,16613.26546153926
47,2,15439.088766119034
1,3,6014.8451689175945
2,3,5914.288791791371
3,3,5535.317933716722
4,3,4747.088487783261
5,3,5958.851200880561
6,3,7055.135758579943
7,3,8558.828173923746
8,3,9472.92939360454
9,3,10070.714502005765
10,3,11228.213795965943
11,3,12951.409461029038
12,3,15257.036855571894
13,3,17801.12142807302
14,3,20096.762626357428
15,3,22431.20061046661
16,3,25073.189004019845
17,3,23880.36245222558
18,3,23105.05798122777
19,3,21641.580172047583
20,3,20629.15144997889
21,3,19588.403062723406
22,3,19146.5101634717
23,3,18938.31900192139
24,3,18912.955530919913
25,3,17912.758578821944
26,3,16853.656908779423
27,3,15288.249433851714
28,3,13696.17599187329
29,3,12566.148799000679
30,3,12007.978517684911
31,3,11672.56349656462
32,3,11217.167867415224
33,3,11123.096953885626
34,3,11223.847487833926
35,3,12870.427184176095
36,3,14194.266780987244
37,3,15508.951014272518
38,3,18784.542642169792
39,3,19355.0289094582
40,3,19200.904989826944
41,3,19056.181888957035
42,3,18190.06637382119
43,3,17946.00453678017
44,3,17731.552383453203
45,3,18197.15893358439
46,3,17100.59778976581
47,3,15855.015202703253
1,4,6027.589465929184
2,4,6108.105152225114
3,4,5895.224625360857
4,4,5612.416561986588
5,4,4461.359290449003
6,4,4005.280329605043
7,4,3814.5982956123307
8,4,5176.512949424397
9,4,6273.141145412669
10,4,7606.270152637209
11,4,9282.528229221427
12,4,11417.411832451702
13,4,13741.614042763029
14,4,16098.624732692544
15,4,16524.9099682589
16,4,16191.172356435989
17,4,15449.861551671864
18,4,16535.793471691162
19,4,15496.788169357967
20,4,12927.441740967475
21,4,12040.489637711253
22,4,11067.437974120136
23,4,10866.015199600313
24,4,11055.127969019151
25,4,10208.133772649831
26,4,9457.678443183404
27,4,9368.273710331852
28,4,8180.6275224883675
29,4,7395.622512496517
30,4,6805.626173376693
31,4,6304.052296560644
32,4,5675.558125631802
33,4,5696.133347532602
34,4,5657.543267795723
35,4,5296.289661861668
36,4,4805.76708176515
37,4,6403.903814756541
38,4,8242.4838321528
39,4,9801.176958639267
40,4,11211.299860771383
41,4,12457.494037700457
42,4,13380.066709157294
43,4,14760.691357566437
44,4,15138.873784500614
45,4,15606.230729969771
46,4,15194.640107117812
47,4,14144.106206279996
1,5,5746.234425124993
2,5,5754.588870652764
3,5,5762.496428194727
4,5,5297.885262962813
5,5,4386.228628883084
6,5,3736.308330939927
7,5,5309.413755958416
8,5,6519.480808174773
9,5,7434.8871572188145
10,5,8671.20161553567
11,5,10322.834686552527
12,5,12481.598132213709
13,5,14850.674447770449
14,5,17020.40907249769
15,5,19230.229972223766
16,5,21067.098240278792
17,5,21940.78991850809
18,5,22921.485160219356
19,5,23788.281839291405
20,5,24954.33308882454
21,5,21872.518857520125
22,5,20783.796582813637
23,5,20863.182131239773
24,5,21587.4449083532
25,5,20508.67714301801
26,5,19732.227180830236
27,5,18241.220355551115
28,5,16425.958770368474
29,5,15559.37519896834
30,5,14348.828836016011
31,5,14024.047552825032
32,5,13140.852537271054
33,5,13057.451800262992
34,5,13342.253364366403
35,5,15172.70077664256
36,5,16306.196138931471
37,5,19205.558953640033
38,5,21879.03392837607
39,5,24288.29814337989
40,5,22629.782524681767
41,5,22011.526403113996
42,5,21934.205083123023
43,5,21496.737936143276
44,5,20842.706022807084
45,5,23476.42839323199
46,5,19688.034065004358
47,5,17914.182111487782
