iter,lower_bound_batch_avg
1,75399.88170159282
2,126286.43321265402
3,131326.51370088581
4,144195.72700497648
5,149307.80375172335
6,129028.62863850505
7,135936.47148668158
8,137108.41671944674
9,125652.79638903029
10,126641.01851546261
11,128209.7080130273
12,125996.91130508568
13,130551.17526919847
14,141728.72001053128
15,129832.70329549338
16,123385.12314039122
17,150061.77719258607
18,142057.95436057527
19,130643.56969355953
20,139000.8574716751
21,123520.1445461922
22,130534.78085413502
23,141862.97065582802
24,138532.3368942966
25,121038.53751716617
26,128564.60871026528
27,122211.30808861533
28,133023.7079764284
29,128995.14631353114
30,134637.07816326304
31,128988.0314995583
32,136646.39416290223
33,140228.3054159543
34,150973.25057790364
35,132130.57353706285
36,133007.90140669642
37,168352.95108325887
38,131416.66198284883
39,128633.51669841413
40,135169.20265975798
41,123957.34607965723
42,127792.30399914554
43,128978.47915324684
44,130615.42736946372
45,132268.61178245957
46,123706.56621716001
47,134205.84282608732
48,134388.72803694522
49,126074.711045514
50,149745.85826710638
51,128955.95874835234
52,130983.7349297798
53,131048.94540687397
54,135169.7141957639
55,142318.2789709862
56,120958.47783805951
57,120625.17287997689
58,128781.95586478779
59,130653.3060694045
60,129242.5365088617
61,142883.88490325952
62,129406.9373987561
63,124706.74371392265
64,133162.0475720444
65,126786.4522935712
66,128388.4058024619
67,130053.55893689099
68,128993.66646869412
69,149858.68711930575
70,126946.3493649705
71,135450.93264450988
72,126636.95755632374
73,139159.97888280853
74,124351.13389161506
75,136348.63141110959
76,135920.97569012962
77,123221.26023824132
78,144835.55798482068
79,130346.29220742485
80,116283.02259426405
81,121963.70129487227
82,121718.25466615705
83,147358.21828292584
84,123715.42355825577
85,126893.79813729791
86,126918.20684889368
87,125406.52423150846
88,146183.4532776145
89,126984.03216023967
90,142771.04424833885
91,122493.33077690803
92,122647.61700919384
93,125283.64730397874
94,124938.3527889936
95,127105.98425010745
96,133535.59337490256
97,137529.67631592922
98,122554.17916077138
99,131950.46522022627
100,123767.80480519218
101,159129.84132943387
102,127197.51652811741
103,142240.92287975593
104,158703.24990463856
105,133439.43582696098
106,126458.29546782884
107,131652.8338794909
108,131805.6785536468
109,153149.55883064383
110,131133.0861075258
