N,t,std_last5
100,1,190.2720645664886
100,2,251.00481777953885
100,3,278.9653459037531
100,4,478.3340993628057
100,5,310.1433475581412
100,6,999.5542146502752
100,7,283.66196000463566
100,8,265.9253115414125
100,9,266.8325141122726
100,10,254.1707915007382
100,11,423.8009902028855
100,12,542.2861571809115
100,13,687.7058407139571
100,14,1167.6899286525932
100,15,1275.022761084747
100,16,1459.3878729922676
100,17,1511.794792467176
100,18,1480.1689117397982
100,19,1403.9113988391339
100,20,1644.2664779216122
100,21,1234.0532045539887
100,22,1024.4557099122806
100,23,1005.271133426137
100,24,972.038888824059
100,25,1099.1906001759703
100,26,1194.6014865432564
100,27,1076.4462386361831
100,28,863.2566731309349
100,29,682.8199959012434
100,30,402.41469892070086
100,31,470.09222023199885
100,32,359.29608191913394
100,33,187.83398026303132
100,34,447.4951782589174
100,35,451.16734719839997
100,36,602.2132253508689
100,37,695.4489196479959
100,38,598.5129409169527
100,39,1237.336685538666
100,40,511.5660254808797
100,41,407.9776416336881
100,42,459.4008194613493
100,43,328.4819340875549
100,44,182.13601043880763
100,45,931.4165451058844
100,46,385.7767337961433
100,47,215.3124329492313
200,1,190.2720645664886
200,2,251.00481777953877
200,3,278.96534590375285
200,4,478.3340993628059
200,5,309.95501437882314
200,6,999.6056255705619
200,7,284.0245054659017
200,8,229.7877350912125
200,9,196.243423366939
200,10,545.4104500914091
200,11,807.4269691125144
200,12,815.7043372649043
200,13,818.5093798992449
200,14,1211.9782279807096
200,15,1321.1188127689213
200,16,1439.6825282505583
200,17,1466.7781244748792
200,18,1305.7423694975137
200,19,1304.7667634583786
200,20,1851.0594336259012
200,21,1233.8392383439877
200,22,1073.967632384817
200,23,1124.1023316574974
200,24,1057.9513226834465
200,25,1042.2829828392107
200,26,1161.4495871669355
200,27,961.7889160617211
200,28,852.2796613079164
200,29,632.7831614157949
200,30,376.89542871501834
200,31,442.70614943245585
200,32,351.55644336936393
200,33,183.3064930475601
200,34,459.34218600347714
200,35,194.81096941088867
200,36,338.25813372406463
200,37,478.6527266007794
200,38,665.2863159757816
200,39,847.149737193547
200,40,229.29788953602835
200,41,323.048486313939
200,42,297.589027841013
200,43,197.62219729787142
200,44,266.80436156585284
200,45,717.1780708126043
200,46,413.95599015280845
200,47,0.0
500,1,190.27206456648878
500,2,251.00481777953888
500,3,278.96534590375296
500,4,478.3340993628057
500,5,310.1968211579433
500,6,999.5686319803099
500,7,283.14216851742674
500,8,235.55742561846725
500,9,165.8273503974951
500,10,644.323138130187
500,11,590.2925935555307
500,12,715.2492556197612
500,13,799.9063165308181
500,14,1307.3267228038133
500,15,1292.943501793179
500,16,1661.5050760727956
500,17,1499.4487141081718
500,18,1310.9981103965818
500,19,1211.0635531281011
500,20,1772.6670310111156
500,21,1074.946903714066
500,22,935.907438502752
500,23,1049.9865293367914
500,24,1034.4488879594112
500,25,997.4924849872978
500,26,1211.3149030526656
500,27,1060.48121298938
500,28,881.0054427617076
500,29,677.3083459395315
500,30,356.4517507969694
500,31,394.22562266419743
500,32,195.2793616658276
500,33,74.8723868808631
500,34,291.94226208247386
500,35,552.0451113130497
500,36,607.807122178934
500,37,725.247141196184
500,38,403.1900650333567
500,39,1198.6711127325618
500,40,617.072188821508
500,41,368.68705659201584
500,42,324.91560140804785
500,43,333.25073317121996
500,44,296.1195068510882
500,45,955.2631934518098
500,46,462.4369339958361
500,47,210.0352223408835
1000,1,190.27206456648878
1000,2,251.00481777953885
1000,3,278.9653459037531
1000,4,478.33409936280566
1000,5,310.2207057122823
1000,6,999.5968346288404
1000,7,283.4771669991255
1000,8,267.04904275276454
1000,9,249.0862070463376
1000,10,236.93526843775373
1000,11,374.4629161717231
1000,12,541.0089343255335
1000,13,738.982790916049
1000,14,1117.0357728711856
1000,15,1254.4408065130935
1000,16,1482.746200916351
1000,17,1639.6755277718273
1000,18,1578.0728187579048
1000,19,1542.1381584053263
1000,20,1662.467499907942
1000,21,1264.0265976300016
1000,22,1152.1261348357423
1000,23,1144.203323364773
1000,24,996.7933712351835
1000,25,1012.1176180476006
1000,26,1183.7777769786112
1000,27,1105.4938872592445
1000,28,872.1750635365405
1000,29,685.147300451411
1000,30,412.2862625223713
1000,31,472.27923097379744
1000,32,370.15288338414103
1000,33,189.50181339415263
1000,34,424.9320721099978
1000,35,406.9268932451381
1000,36,568.0864455455252
1000,37,737.6697799674611
1000,38,524.4422596122312
1000,39,694.6695040714098
1000,40,97.4161019704576
1000,41,301.4971824657744
1000,42,266.0001983749891
1000,43,196.37319757564018
1000,44,267.74093321820993
1000,45,717.1233114833153
1000,46,414.0536804358986
1000,47,0.0
