t,last5_index,Vhat
1,1,3706.388970904342
2,1,4125.418732655264
3,1,3881.940354895881
4,1,3422.3519542457875
5,1,2997.873198328908
6,1,4781.999481384186
7,1,2531.1330912718267
8,1,1905.6083451458562
9,1,1882.7188551729682
10,1,1766.82371924059
11,1,1755.904327634676
12,1,2184.4725630327157
13,1,2463.9492906817513
14,1,2161.011513671838
15,1,2857.01547876277
16,1,2899.530903236532
17,1,3350.6349175377973
18,1,3392.2259499553984
19,1,2893.4797980115054
20,1,2642.2149288095166
21,1,2544.518766120968
22,1,2689.0599519356224
23,1,2606.423989732129
24,1,2716.433470729139
25,1,3107.477000584665
26,1,3520.7354525692595
27,1,3972.9625102768505
28,1,3336.43345019237
29,1,3197.2056600264414
30,1,2731.751743397606
31,1,2471.791211462329
32,1,2101.6492409282987
33,1,1792.159035132063
34,1,1101.7293660086489
35,1,2568.0427919456083
36,1,2743.7505773559574
37,1,3302.0217008584586
38,1,3010.5583967430584
39,1,2933.40536192181
40,1,2955.550252468893
41,1,3217.2653489063878
42,1,2920.617664097006
43,1,2680.825648779648
44,1,2637.3181850721294
45,1,2022.3688336652317
46,1,2053.999143336084
47,1,759.2289999374016
1,2,4117.2859377091845
2,2,4679.050107229103
3,2,4568.5311917550835
4,2,4227.071374092253
5,2,3093.61521623755
6,2,2601.316851319798
7,2,2311.435318982318
8,2,1650.785423556261
9,2,1544.7784753932117
10,2,1210.712299282815
11,2,1590.3989017625795
12,2,2320.3590669899777
13,2,3500.758057016458
14,2,4592.077517932505
15,2,5590.13663060516
16,2,6427.492133257914
17,2,6883.614760888199
18,2,7084.5847094400615
19,2,6664.472883187969
20,2,6149.650541272857
21,2,5637.810370222472
22,2,5329.974075121995
23,2,5344.585839863312
24,2,5205.354203899149
25,2,5280.635344355056
26,2,5817.690940859024
27,2,5969.574876687315
28,2,4852.303467820022
29,2,4058.4771914975854
30,2,3142.87331891476
31,2,3169.917342626008
32,2,2722.651332986508
33,2,2277.1378530500597
34,2,1949.3159678220345
35,2,1786.2402101140854
36,2,1880.0083406852382
37,2,1958.7855072632237
38,2,3302.30116262478
39,2,2594.6446628626254
40,2,2692.339090349281
41,2,2782.060054140203
42,2,2861.8238313255783
43,2,2627.949292200918
44,2,3005.7049799619026
45,2,2483.8834441696763
46,2,2617.188851084429
47,2,759.2289999374016
1,3,3906.2780771012835
2,3,4240.336248030888
3,3,4166.596741801058
4,3,3314.3090590864717
5,3,2535.8947773362106
6,3,2414.788144088201
7,3,2150.191031712452
8,3,1889.0787395009527
9,3,1649.8274308762964
10,3,1612.002316434128
11,3,1852.9558344628379
12,3,1429.656303899208
13,3,1517.5517708528346
14,3,1669.6247618509171
15,3,2424.1545368858015
16,3,3329.1950883894115
17,3,3256.502752604527
18,3,3465.6378337546266
19,3,3129.3222518758885
20,3,3296.0750365895133
21,3,3120.167531694009
22,3,3523.66739688172
23,3,3414.890723313831
24,3,3321.4298147234517
25,3,3211.9096441447027
26,3,3302.502689809324
27,3,3207.184004607164
28,3,2625.8413589872425
29,3,2217.4219416224687
30,3,2079.9873319701205
31,3,1954.8683588822457
32,3,1907.4355421206965
33,3,1908.6711669470078
34,3,1546.44668998569
35,3,1531.5549608295796
36,3,1758.0517989919408
37,3,1648.0023522392498
38,3,2284.596992073558
39,3,2686.594627168873
40,3,2867.364659832248
41,3,3090.91985555958
42,3,2996.9140929351565
43,3,3021.0710398842184
44,3,3101.6045578496905
45,3,3032.273674033874
46,3,2909.26492518629
47,3,759.2289999374016
1,4,3919.0223741128734
2,4,4439.8290223238
3,4,4507.9543119378695
4,4,4363.929399082608
5,4,3319.072514540539
6,4,2876.2635264185683
7,4,2440.1894945719805
8,4,1999.0322402337165
9,4,1568.2242365998943
10,4,1662.7721003276815
11,4,1320.1468592822216
12,4,1344.4797031669414
13,4,2201.2021442953182
14,4,2506.1987072875336
15,4,2897.443018580535
16,4,2879.587502419575
17,4,2929.798102757029
18,4,4415.495777612709
19,4,4210.867304055642
20,4,2812.185750497501
21,4,2640.1852201732336
22,4,2475.191454318093
23,4,2558.6001716669048
24,4,2850.1374706107767
25,4,2675.759455919383
26,4,2702.194495295623
27,4,3406.166945190759
28,4,2901.1109060696713
29,4,2670.180436558386
30,4,2378.4079625033846
31,4,2140.4539969619664
32,4,1839.4803552789706
33,4,1929.5496908575808
34,4,1953.4887084641223
35,4,1678.756915938316
36,4,1209.1660080231134
37,4,1385.915816065388
38,4,2082.5441910208947
39,4,2327.542576774831
40,4,2826.1009447560155
41,4,2542.1019276047728
42,4,2324.8340680906567
43,4,2494.2832898936203
44,4,3030.1676062421257
45,4,2981.163071957394
46,4,3069.9259736234553
47,4,759.2289999374016
1,5,3637.667333308683
2,5,4064.97578618849
3,5,4358.454796079164
4,5,4056.549491019801
5,5,3259.7783313610603
6,5,2445.5650802722043
7,5,1811.2518311881981
8,5,1337.6290034116093
9,5,1191.3108037126467
10,5,1804.2903732789061
11,5,2334.9681120519163
12,5,2534.825589353559
13,5,2856.9421871691557
14,5,2910.8768202547267
15,5,3523.1003481983594
16,5,3663.2689281870953
17,5,3431.22213792651
18,5,3466.432869001761
19,5,3367.1574306852235
20,5,5657.204085370187
21,5,3308.390422994077
22,5,2942.7382031774114
23,5,3057.188594746332
24,5,3536.9770209978983
25,5,3377.121613627357
26,5,3731.5307706869157
27,5,3777.4323568712716
28,5,3103.604443129647
29,5,2981.4319888922073
30,5,2334.6206966171094
31,5,2229.7703884211714
32,5,1862.7763510507443
33,5,1852.0068370702104
34,5,1101.7293660086489
35,5,2044.2363401897424
36,5,1579.16610242769
37,5,2095.5247092530017
38,5,2333.2247656433483
39,5,4111.350693895789
40,5,2884.695648223217
41,5,2582.5963294574435
42,5,2721.3814081158985
43,5,2640.549985885871
44,5,2501.2399374248826
45,5,3943.960928119295
46,5,2333.682516255879
47,5,759.2289999374016
