N,train_M,test_M,SDDP_in,SDDP_out,train_time_s,online_ms_per_path
100,1000,1000,81823.83834750352,82523.47084874322,74.561,160.979
200,1000,1000,81946.02819878409,82619.03058705249,359.766,323.291
500,1000,1000,82060.04793602269,82761.69300287604,1974.077,608.111
1000,1000,1000,81741.62919855633,82462.91088138452,6564.776,1097.044
