scenario,WS,EEV,regret
1,104034.59015277,99105.23361766,4929.35653511
2,82009.05222135,75838.54889907,6170.50332228
3,87039.33024130,79532.56886648,7506.76137482
4,107727.51017399,102714.46554290,5013.04463109
5,95049.91647042,88161.02850244,6888.88796798
6,91421.77054210,88404.52479434,3017.24574776
7,82164.56558329,77432.48838945,4732.07719384
8,76016.31954878,64828.01084124,11188.30870754
9,85022.41576050,79911.94491080,5110.47084970
10,90983.99156945,84577.36191156,6406.62965789
11,83519.44078436,76460.96596198,7058.47482238
12,112594.74919679,105413.07413622,7181.67506057
13,96523.05808517,89517.51262225,7005.54546292
14,90341.87945012,74362.76916094,15979.11028918
15,77542.97074685,69407.18322746,8135.78751939
16,95292.58508476,83874.75225125,11417.83283351
17,95167.77497922,81193.36104254,13974.41393668
18,96639.51210205,79237.34415891,17402.16794314
19,114585.81908356,108387.31036389,6198.50871967
20,71234.49204345,66160.47470743,5074.01733602
21,74292.95603012,63255.66107285,11037.29495728
22,68258.03219105,62412.60327564,5845.42891541
23,80976.34214815,74766.77966127,6209.56248689
24,103035.61779323,98589.94596955,4445.67182369
25,91029.83696412,84763.39146215,6266.44550198
26,82269.20677397,72931.28516147,9337.92161250
27,97719.48601281,91106.66939531,6612.81661750
28,84856.07191611,78010.30346028,6845.76845583
29,89612.85538329,86621.65999773,2991.19538556
30,91388.68487460,85357.37052410,6031.31435050
31,98370.79249709,96247.76150965,2123.03098745
32,99855.64424559,87250.18255331,12605.46169229
33,88237.92748650,86355.86035902,1882.06712748
34,95349.42071443,85090.00877645,10259.41193798
35,88235.94911424,84045.27534871,4190.67376553
36,105808.24196152,94052.77921661,11755.46274491
37,87519.50993067,78094.97872725,9424.53120342
38,105610.95707818,95816.68625067,9794.27082751
39,80547.35476754,69671.37561223,10875.97915531
40,114530.73960142,101100.55736069,13430.18224073
41,97121.57156942,94189.79809715,2931.77347228
42,90263.64973432,83060.29835813,7203.35137619
43,67677.52151281,54012.24482246,13665.27669036
44,95033.13452548,92986.99911378,2046.13541170
45,74765.49996167,61299.72154311,13465.77841855
46,93666.88919555,89069.22009830,4597.66909724
47,100997.78884481,96142.77415610,4855.01468871
48,103435.29433075,98694.96132183,4740.33300892
49,85394.48341870,67702.78460468,17691.69881402
50,83997.59896675,71425.78606800,12571.81289875
51,92248.53202716,87907.80915439,4340.72287277
52,84574.21755989,80983.86331101,3590.35424888
53,95201.18862769,87824.76453736,7376.42409033
54,86307.11020385,81618.10789982,4689.00230403
55,111789.44980995,104945.67048832,6843.77932164
56,100572.89220514,92836.67101079,7736.22119435
57,97879.91211825,93948.62526091,3931.28685734
58,92702.30765497,86366.36680894,6335.94084603
59,108750.08262910,103255.28141400,5494.80121510
