scenario,WS,EEV,regret
1,81694.18026167,75219.88265800,6474.29760367
2,97602.17947389,80858.96391335,16743.21556054
3,71366.60085343,67985.64162489,3380.95922855
4,89501.36676227,72668.28063885,16833.08612342
5,99917.95794628,84620.42596480,15297.53198148
6,64422.79111412,58242.83856702,6179.95254710
7,84019.56173911,73177.36230515,10842.19943396
8,96279.29055222,93929.92736564,2349.36318658
9,99410.02616760,97452.22324156,1957.80292604
10,88533.21824869,80582.73679945,7950.48144924
11,92936.25220079,88514.99447426,4421.25772653
12,87754.68620053,80003.00508160,7751.68111892
13,74708.17309508,64167.91387576,10540.25921932
14,70653.31423646,59979.11780546,10674.19643100
15,86513.12370323,74023.32271527,12489.80098795
16,84721.86749926,74174.48797609,10547.37952316
17,94695.73815460,84940.30997084,9755.42818376
18,100868.17765761,98855.26093906,2012.91671855
19,93544.72160018,81125.70079369,12419.02080649
20,86937.38678683,78759.29418329,8178.09260354
21,87759.31804925,76071.69770651,11687.62034274
22,94791.17948935,79012.47582967,15778.70365968
23,97901.14925035,82993.33005786,14907.81919249
24,97562.92872397,92950.11833222,4612.81039175
25,113441.62802022,99525.98492340,13915.64309682
26,105349.25951793,97928.22600932,7421.03350861
27,96772.22092294,79876.43210066,16895.78882227
28,106043.37520351,93631.91407460,12411.46112891
29,88239.21318926,77384.17340278,10855.03978648
30,89494.11040104,80893.78629933,8600.32410170
31,106984.73838951,92174.19762075,14810.54076876
32,100521.03311667,86528.79735221,13992.23576447
33,95839.07180179,90423.67027460,5415.40152719
34,110323.40270659,87987.99553998,22335.40716661
35,109571.52477133,97906.07263579,11665.45213554
36,104571.02620981,97585.07630294,6985.94990687
37,101311.07285232,94933.16277482,6377.91007750
38,95655.03781556,88698.33035268,6956.70746288
39,71457.55813923,67129.09527214,4328.46286709
40,89564.07576752,81066.82944188,8497.24632564
41,70374.32267605,65221.62492243,5152.69775362
42,95428.24780642,81601.57342232,13826.67438410
43,111391.68025084,100039.77033196,11351.90991888
44,89683.75953584,70763.08655468,18920.67298116
45,116134.10323842,103868.18973465,12265.91350377
46,94656.12907689,86230.44752856,8425.68154833
47,73074.70957290,67308.90016996,5765.80940294
48,80734.81916632,67636.68937929,13098.12978702
49,90639.42250670,71849.41115753,18790.01134917
50,89542.67046782,73305.04028418,16237.63018364
51,90516.99189929,79730.83937251,10786.15252678
52,92869.01045622,82318.36414489,10550.64631133
53,79289.50378507,69224.89099991,10064.61278516
54,109741.19349325,105412.69388669,4328.49960656
55,92369.97752392,89929.02041075,2440.95711317
56,101606.99132246,88691.83260427,12915.15871819
57,87735.64291764,83216.90852488,4518.73439276
58,91994.45066350,80755.48893240,11238.96173111
59,77761.66958118,65615.47363095,12146.19595023
60,89209.24916440,80139.93964717,9069.30951723
61,93474.22603059,88612.60009923,4861.62593136
62,98234.43757378,87307.33358570,10927.10398808
63,83427.31174260,77339.14073379,6088.17100881
64,88865.85263285,83931.96799840,4933.88463445
65,83203.33972053,75499.87590775,7703.46381278
66,85802.59972429,78977.19286851,6825.40685578
67,88395.31529301,65785.05801214,22610.25728087
68,92044.07449355,82753.19984633,9290.87464722
69,120577.72227501,112818.34835665,7759.37391835
70,90465.13427513,84501.78452840,5963.34974673
71,89620.74508775,79388.01090842,10232.73417933
72,88677.11933610,81843.52634824,6833.59298786
73,71867.44720283,64817.05330562,7050.39389720
74,92688.72702519,85835.37029298,6853.35673221
75,103348.46213918,90145.80853334,13202.65360583
76,91057.51861872,80101.29946839,10956.21915033
77,82048.94199418,76849.55532743,5199.38666676
78,80662.40445191,68972.63834899,11689.76610292
79,98089.64079465,95360.63625195,2729.00454270
80,104595.90845759,92736.57192777,11859.33652982
81,98778.19146151,83166.72279878,15611.46866273
82,102813.09808441,78249.83471819,24563.26336621
83,67841.97137914,54391.28644846,13450.68493068
84,91003.25666880,77394.66216595,13608.59450285
85,86278.31365993,78342.80404844,7935.50961149
86,83444.06195116,76588.78781871,6855.27413245
87,108142.31553944,101065.65484603,7076.66069341
88,93368.67909505,83973.45067845,9395.22841660
89,106616.86282434,94716.70384861,11900.15897573
90,79017.76334482,75245.38404757,3772.37929725
91,99666.72849550,93003.05184551,6663.67664999
92,85279.14429254,76634.48563838,8644.65865416
93,93366.11411792,87488.91913989,5877.19497802
94,85708.44660375,80595.71435529,5112.73224846
95,104124.10399950,98098.53334301,6025.57065649
96,104888.02737191,96110.49752789,8777.52984402
97,97992.65323255,86572.67110555,11419.98212701
98,106159.61471555,101690.38902945,4469.22568611
99,104107.95320444,99078.55886661,5029.39433783
100,75788.68834830,72506.78766041,3281.90068789
