N,EEV_in_sample,WS_in_sample,EEV_out_of_sample,WS_out_of_sample
100,82753.35115419,92355.21000957,84429.80323476,93307.65337414
200,81733.61812304,91253.80774083,84497.77207282,93307.65337414
500,82300.69429736,91867.40589405,84483.13911888,93307.65337414
1000,82669.30224340,92116.14023097,84479.13101441,93307.65337414
