scenario,WS,EEV,regret
1,104034.59015277,99725.02402124,4309.56613153
2,82009.05222135,76460.41752328,5548.63469807
3,87039.33024130,79887.70193112,7151.62831018
4,107727.51017399,102005.24156310,5722.26861089
5,95049.91647042,87596.95935258,7452.95711783
6,91421.77054210,89022.02982456,2399.74071754
7,82164.56558329,78017.30205262,4147.26353067
8,76016.31954878,64454.86096518,11561.45858360
9,85022.41576050,79402.07570513,5620.34005537
10,90983.99156945,84007.98562423,6976.00594522
11,83519.44078436,76139.51368500,7379.92709936
12,112594.74919679,105461.36016252,7133.38903427
13,96523.05808517,89720.21719238,6802.84089279
14,90341.87945012,75483.60047005,14858.27898007
15,77542.97074685,69925.20289320,7617.76785365
16,95292.58508476,84472.48841289,10820.09667188
17,95167.77497922,81863.86490323,13303.91007599
18,96639.51210205,79873.64773257,16765.86436949
19,114585.81908356,107676.91623774,6908.90284582
20,71234.49204345,66225.52590290,5008.96614055
21,74292.95603012,63284.01145568,11008.94457445
22,68258.03219105,62810.01531981,5448.01687124
23,80976.34214815,74624.09845552,6352.24369264
24,103035.61779323,98269.47096989,4766.14682334
25,91029.83696412,85339.36491256,5690.47205157
26,82269.20677397,72415.18103446,9854.02573951
27,97719.48601281,90478.23791781,7241.24809500
28,84856.07191611,77501.33091553,7354.74100059
29,89612.85538329,87268.89120376,2343.96417953
30,91388.68487460,85937.17729690,5451.50757771
31,98370.79249709,96812.13588950,1558.65660760
32,99855.64424559,86480.86872913,13374.77551646
33,88237.92748650,85834.68618120,2403.24130530
34,95349.42071443,85192.83066459,10156.59004984
35,88235.94911424,83528.61697265,4707.33214160
36,105808.24196152,93371.74054697,12436.50141454
37,87519.50993067,78848.98105521,8670.52887546
38,105610.95707818,95967.37255278,9643.58452539
39,80547.35476754,70288.01961293,10259.33515461
40,114530.73960142,101896.08134471,12634.65825671
41,97121.57156942,93997.51584678,3124.05572264
42,90263.64973432,82498.37531223,7765.27442209
43,67677.52151281,53353.21285194,14324.30866088
44,95033.13452548,92838.69265781,2194.44186768
45,74765.49996167,61931.58473599,12833.91522568
46,93666.88919555,89685.85617433,3981.03302121
47,100997.78884481,96833.83275263,4163.95609217
48,103435.29433075,98186.69843674,5248.59589401
49,85394.48341870,66974.93500298,18419.54841573
50,83997.59896675,71629.38178619,12368.21718056
51,92248.53202716,87682.63220691,4565.89982025
52,84574.21755989,80806.26085596,3767.95670393
53,95201.18862769,88420.25797658,6780.93065111
54,86307.11020385,81623.28782320,4683.82238065
55,111789.44980995,105014.91288599,6774.53692396
56,100572.89220514,92947.22336188,7625.66884325
57,97879.91211825,93892.95056355,3986.96155470
58,92702.30765497,86146.80182768,6555.50582729
59,108750.08262910,103565.69985080,5184.38277830
60,106227.64759658,101234.45840064,4993.18919595
61,90642.99262845,83387.04780902,7255.94481944
62,104816.70245524,97465.83215153,7350.87030371
63,87142.12214745,76876.82198340,10265.30016405
64,109930.31067968,108896.29508348,1034.01559620
65,97129.36399243,73960.22719449,23169.13679793
66,97618.81355033,90794.18999756,6824.62355276
67,97251.97340794,93624.82724651,3627.14616143
68,110890.31497595,85529.35165951,25360.96331644
69,84498.33011799,76589.09733729,7909.23278070
70,83441.96762678,64320.89797168,19121.06965510
71,111735.83111075,104534.48395273,7201.34715802
72,100413.27715318,96894.28999376,3518.98715941
73,85433.47420614,71520.69753312,13912.77667303
74,105103.72314536,97589.86690122,7513.85624414
75,97330.66043194,89455.93004147,7874.73039047
76,89568.27486341,85037.62629729,4530.64856612
77,96241.21397184,76627.76679172,19613.44718012
78,72489.06072844,66754.75428419,5734.30644425
79,97455.16564966,72778.32787834,24676.83777132
80,92965.25838291,80342.11853405,12623.13984886
81,95126.06274085,84792.38755154,10333.67518931
82,94755.69631899,90677.03288199,4078.66343700
83,97231.63586863,88814.98757274,8416.64829589
84,84695.11574954,79763.00935188,4932.10639767
85,97173.32842854,91134.61303414,6038.71539439
86,83466.57180803,77199.45999968,6267.11180835
87,93370.69671562,87944.69126120,5426.00545442
88,89714.93399968,79116.45578764,10598.47821204
89,100457.60221859,89265.36951798,11192.23270061
90,75157.29296139,56587.17877443,18570.11418696
91,94722.19338129,88918.70078080,5803.49260049
92,113385.52984944,107929.02538507,5456.50446437
93,97251.44260584,93266.99346699,3984.44913885
94,103611.02435625,96874.41648771,6736.60786853
95,102538.11683309,88442.25580578,14095.86102731
96,107573.92715272,106601.10113101,972.82602171
97,124606.01682926,115849.40780703,8756.60902223
98,77293.80120133,67051.79372283,10242.00747850
99,93777.70054799,89346.39304327,4431.30750473
100,88751.30745664,83548.66123354,5202.64622309
101,86417.00747538,77146.32766548,9270.67980991
102,89648.19707023,82336.03777574,7312.15929449
103,88263.82019359,84171.13534482,4092.68484878
104,106341.82509054,91769.74942293,14572.07566761
105,76289.89876537,69168.02313492,7121.87563045
106,88354.19509830,70076.06309078,18278.13200752
107,117670.84265848,108258.77236548,9412.07029300
108,97171.08931781,87684.12007849,9486.96923932
109,82673.58923588,72189.76500044,10483.82423543
110,90434.75098665,78295.62061847,12139.13036818
111,93346.50774090,83951.30838830,9395.19935260
112,81592.83040160,72871.22958920,8721.60081240
113,97326.77680287,89329.61263500,7997.16416787
114,99196.31606450,90566.23907430,8630.07699020
115,95120.25935847,89408.05593227,5712.20342619
116,100304.39206617,86350.35819888,13954.03386729
117,81296.91049916,76140.28383291,5156.62666625
118,90473.97334231,88400.66753329,2073.30580902
119,92335.59880392,86503.28618468,5832.31261925
120,95360.81963704,86259.38729883,9101.43233821
121,99098.07116874,94861.55800502,4236.51316372
122,74503.16316676,53574.00047111,20929.16269565
123,93038.39491206,84814.96334534,8223.43156672
124,83116.60289276,68305.25708273,14811.34581003
125,90877.47730038,81042.34315450,9835.13414588
126,81549.52566096,77232.65846691,4316.86719405
127,101869.63855403,98079.28956848,3790.34898555
128,89977.01999950,84345.46480814,5631.55519136
129,87857.17109208,73150.65177558,14706.51931651
130,114601.25442329,111179.62506247,3421.62936082
131,76060.88844253,69368.65892062,6692.22952191
132,93039.22054332,87243.55742282,5795.66312049
133,93066.46936892,85812.33997521,7254.12939370
134,93955.91036538,87781.83016056,6174.08020482
135,117300.09099327,112379.55012985,4920.54086342
136,94725.12749963,85227.09863808,9498.02886155
137,95237.36039958,83275.81725447,11961.54314511
138,83389.10975369,73490.21306173,9898.89669195
139,101148.11987637,94663.40843270,6484.71144367
140,84440.19634577,74586.59803069,9853.59831508
141,102320.68775618,87370.35719342,14950.33056277
142,93864.50256280,77965.48029093,15899.02227187
143,98545.86277032,70998.18872047,27547.67404985
144,93392.68603643,84459.87817908,8932.80785734
145,100436.14063934,89934.51066160,10501.62997774
146,76467.85285546,72622.62911173,3845.22374373
147,85953.03886331,76881.32384495,9071.71501836
148,102346.20741030,96710.54853364,5635.65887666
149,78518.75285043,75784.33558682,2734.41726362
150,96836.19522039,91054.67547939,5781.51974099
151,105136.94853715,90901.98935329,14234.95918386
152,84659.97119573,78434.80622238,6225.16497336
153,81873.25832458,73778.41896984,8094.83935474
154,99327.22294639,96591.80746293,2735.41548347
155,108322.96607184,91920.01804359,16402.94802825
156,102570.55277301,89315.95504335,13254.59772965
157,78138.47185063,72060.20190213,6078.26994850
158,92938.70318473,83929.47366807,9009.22951667
159,107631.34280961,104720.21799711,2911.12481251
160,86819.21081223,84005.54479132,2813.66602091
161,96440.34590935,87827.73257235,8612.61333700
162,110076.02430472,79884.45990385,30191.56440087
163,67065.24882140,60124.20052940,6941.04829200
164,81236.38644353,74743.87843683,6492.50800670
165,87139.62015112,80069.40089747,7070.21925365
166,111328.53816776,107135.57238225,4192.96578551
167,114428.66172982,100813.69892138,13614.96280844
168,90128.54715393,87918.76327875,2209.78387518
169,96820.05795135,91330.28470416,5489.77324719
170,90587.41692004,88122.21082862,2465.20609143
171,98087.88052601,95203.64795007,2884.23257594
172,95047.23186605,83578.97826509,11468.25360096
173,89779.01007399,78959.73499804,10819.27507595
174,91895.29972177,66207.48035002,25687.81937175
175,99860.30002334,85340.43063243,14519.86939091
176,101684.32416688,94948.36929238,6735.95487450
177,95770.27132059,93726.80697948,2043.46434111
178,108177.42336071,98950.29446402,9227.12889670
179,85827.12352085,70861.36120824,14965.76231262
180,84783.36455372,82194.16835085,2589.19620286
181,90821.38740048,77755.62492484,13065.76247564
182,83868.22074498,75546.65961948,8321.56112550
183,99830.58278123,94687.45511940,5143.12766183
184,97215.14757649,91818.12188789,5397.02568860
185,92221.73505400,85818.76535693,6402.96969707
186,90111.56676595,77275.71287519,12835.85389076
187,88782.51502548,84489.86896290,4292.64606258
188,98354.77368805,72968.61445745,25386.15923060
189,97025.78007717,90316.11765714,6709.66242003
190,111421.75372977,94275.50028220,17146.25344758
191,103637.81358814,93374.22043221,10263.59315593
192,78309.78730752,69561.74368696,8748.04362056
193,81502.42129884,77837.55193426,3664.86936457
194,97311.46559104,88026.06508583,9285.40050521
195,91228.49306055,75877.04512183,15351.44793872
196,96872.04564987,85921.50570018,10950.53994968
197,70918.52662283,66429.45549405,4489.07112879
198,94417.15395881,62088.28816669,32328.86579212
199,88647.69536361,80685.14398621,7962.55137740
200,80514.77196937,67188.18514138,13326.58682799
