scenario,WS,EEV,regret
1,81694.18026167,75089.93522576,6604.24503590
2,97602.17947389,80239.41714984,17362.76232405
3,71366.60085343,68450.79034647,2915.81050696
4,89501.36676227,73446.39939417,16054.96736811
5,99917.95794628,83735.02920324,16182.92874304
6,64422.79111412,58673.25202361,5749.53909051
7,84019.56173911,72450.64572385,11568.91601525
8,96279.29055222,94167.52591226,2111.76463995
9,99410.02616760,97445.06918359,1964.95698401
10,88533.21824869,81123.23581940,7409.98242929
11,92936.25220079,87873.34960010,5062.90260069
12,87754.68620053,80079.49729848,7675.18890205
13,74708.17309508,64774.46470377,9933.70839131
14,70653.31423646,59862.25204331,10791.06219315
15,86513.12370323,73662.44365290,12850.68005032
16,84721.86749926,73773.55978744,10948.30771182
17,94695.73815460,84929.69976680,9766.03838780
18,100868.17765761,98270.48665864,2597.69099898
19,93544.72160018,80613.47771463,12931.24388555
20,86937.38678683,79333.11887831,7604.26790852
21,87759.31804925,76712.03499908,11047.28305017
22,94791.17948935,78954.77394414,15836.40554521
23,97901.14925035,83448.09652104,14453.05272931
24,97562.92872397,93494.24284641,4068.68587756
25,113441.62802022,98808.10241330,14633.52560692
26,105349.25951793,97833.59735981,7515.66215812
27,96772.22092294,79323.91574860,17448.30517434
28,106043.37520351,94331.45573519,11711.91946833
29,88239.21318926,76773.98430784,11465.22888143
30,89494.11040104,81483.36098035,8010.74942068
31,106984.73838951,92845.81280967,14138.92557985
32,100521.03311667,85996.49838755,14524.53472912
33,95839.07180179,90070.61469599,5768.45710579
34,110323.40270659,87316.31743068,23007.08527590
35,109571.52477133,98687.87913549,10883.64563584
36,104571.02620981,98190.97770533,6380.04850448
37,101311.07285232,94351.09251414,6959.98033818
38,95655.03781556,88694.85372565,6960.18408991
39,71457.55813923,67386.49480663,4071.06333260
40,89564.07576752,82183.73718541,7380.33858211
41,70374.32267605,65612.57734329,4761.74533276
42,95428.24780642,81426.64270223,14001.60510419
43,111391.68025084,100756.11895492,10635.56129592
44,89683.75953584,71351.97782076,18331.78171508
45,116134.10323842,103215.21104544,12918.89219298
46,94656.12907689,86598.31332221,8057.81575467
47,73074.70957290,67025.21172455,6049.49784835
48,80734.81916632,67990.45199275,12744.36717357
49,90639.42250670,71176.22708376,19463.19542295
50,89542.67046782,74174.28057649,15368.38989132
51,90516.99189929,80687.29667510,9829.69522419
52,92869.01045622,81891.33032305,10977.68013318
53,79289.50378507,69633.93855773,9655.56522734
54,109741.19349325,105733.84179804,4007.35169520
55,92369.97752392,89867.47882163,2502.49870228
56,101606.99132246,89245.14632373,12361.84499873
57,87735.64291764,82808.49760698,4927.14531065
58,91994.45066350,80752.76969606,11241.68096744
59,77761.66958118,65360.52406873,12401.14551245
60,89209.24916440,79601.00578909,9608.24337531
61,93474.22603059,89012.89674638,4461.32928421
62,98234.43757378,88168.27714142,10066.16043235
63,83427.31174260,77360.84470801,6066.46703459
64,88865.85263285,83856.53518397,5009.31744888
65,83203.33972053,75450.38843165,7752.95128888
66,85802.59972429,79691.94115870,6110.65856558
67,88395.31529301,66444.29255121,21951.02274180
68,92044.07449355,83376.82736267,8667.24713088
69,120577.72227501,112210.75051832,8366.97175669
70,90465.13427513,85295.12403927,5170.01023586
71,89620.74508775,78894.01050270,10726.73458505
72,88677.11933610,82440.77247564,6236.34686046
73,71867.44720283,65240.55075674,6626.89644609
74,92688.72702519,85302.49909780,7386.22792739
75,103348.46213918,89725.58110610,13622.88103308
76,91057.51861872,80768.40806854,10289.11055018
77,82048.94199418,76746.83865629,5302.10333790
78,80662.40445191,69505.80542534,11156.59902657
79,98089.64079465,95340.97669003,2748.66410462
80,104595.90845759,93524.50337009,11071.40508750
81,98778.19146151,82471.49028670,16306.70117480
82,102813.09808441,77715.62016850,25097.47791591
83,67841.97137914,54378.88015893,13463.09122021
84,91003.25666880,76699.48502959,14303.77163921
85,86278.31365993,77836.28462108,8442.02903885
86,83444.06195116,77083.23599286,6360.82595831
87,108142.31553944,101409.16511174,6733.15042770
