scenario,WS,EEV,regret
1,81694.18026167,75268.65211064,6425.52815102
2,97602.17947389,80597.19612956,17004.98334433
3,71366.60085343,68191.78986533,3174.81098810
4,89501.36676227,73007.83514519,16493.53161708
5,99917.95794628,84214.98125975,15702.97668653
6,64422.79111412,58433.91745492,5988.87365920
7,84019.56173911,72809.88420166,11209.67753745
8,96279.29055222,94078.96431732,2200.32623489
9,99410.02616760,97455.41410492,1954.61206268
10,88533.21824869,80810.34142872,7722.87681997
11,92936.25220079,88144.65671790,4791.59548289
12,87754.68620053,80063.64264761,7691.04355292
13,74708.17309508,64448.53315928,10259.63993580
14,70653.31423646,59997.61077836,10655.70345810
15,86513.12370323,73904.81738007,12608.30632316
16,84721.86749926,74021.00617870,10700.86132055
17,94695.73815460,85021.79626767,9673.94188694
18,100868.17765761,98587.75814418,2280.41951344
19,93544.72160018,80910.77064302,12633.95095716
20,86937.38678683,79030.49963766,7906.88714917
21,87759.31804925,76365.05986609,11394.25818316
22,94791.17948935,78992.91655424,15798.26293510
23,97901.14925035,83307.75097067,14593.39827968
24,97562.92872397,93184.37223919,4378.55648478
25,113441.62802022,99181.54563470,14260.08238552
26,105349.25951793,97891.26566614,7457.99385179
27,96772.22092294,79626.91023220,17145.31069073
28,106043.37520351,94033.93062191,12009.44458161
29,88239.21318926,77096.97322564,11142.23996363
30,89494.11040104,81163.65318614,8330.45721489
31,106984.73838951,92463.04113872,14521.69725080
32,100521.03311667,86284.98694012,14236.04617656
33,95839.07180179,90265.39388613,5573.67791565
34,110323.40270659,87661.77946404,22661.62324255
35,109571.52477133,98270.20101874,11301.32375259
36,104571.02620981,97964.19376022,6606.83244959
37,101311.07285232,94675.43339122,6635.63946110
38,95655.03781556,88725.22022980,6929.81758576
39,71457.55813923,67289.04587076,4168.51226847
40,89564.07576752,81669.22957741,7894.84619011
41,70374.32267605,65403.23073439,4971.09194166
42,95428.24780642,81662.99154573,13765.25626068
43,111391.68025084,100347.28121173,11044.39903911
44,89683.75953584,71011.34428124,18672.41525461
45,116134.10323842,103563.13002340,12570.97321502
46,94656.12907689,86492.00305272,8164.12602417
47,73074.70957290,67265.04079913,5809.66877377
48,80734.81916632,67830.18872159,12904.63044472
49,90639.42250670,71546.78430282,19092.63820389
50,89542.67046782,73709.19216478,15833.47830304
51,90516.99189929,80173.53131496,10343.46058433
52,92869.01045622,82133.79821391,10735.21224232
53,79289.50378507,69354.36459121,9935.13919386
54,109741.19349325,105616.08532495,4125.10816830
55,92369.97752392,89891.67673707,2478.30078684
56,101606.99132246,88878.70172064,12728.28960182
57,87735.64291764,83038.27272964,4697.37018800
58,91994.45066350,80851.39593889,11143.05472462
59,77761.66958118,65485.05810999,12276.61147119
60,89209.24916440,79887.05743384,9322.19173056
61,93474.22603059,88760.02704226,4714.19898833
62,98234.43757378,87770.91507246,10463.52250132
63,83427.31174260,77355.46315006,6071.84859254
64,88865.85263285,83924.23410447,4941.61852839
65,83203.33972053,75600.33609066,7603.00362987
66,85802.59972429,79356.61852707,6445.98119722
67,88395.31529301,66080.34544820,22314.96984481
68,92044.07449355,83014.45535666,9029.61913689
69,120577.72227501,112525.96491258,8051.75736242
70,90465.13427513,84860.74032451,5604.39395062
71,89620.74508775,79185.40075883,10435.34432892
72,88677.11933610,82131.38268337,6545.73665273
73,71867.44720283,64979.40685661,6888.04034622
74,92688.72702519,85606.75567291,7081.97135228
75,103348.46213918,89998.27077488,13350.19136429
76,91057.51861872,80450.31434422,10607.20427450
77,82048.94199418,76894.19033449,5154.75165969
78,80662.40445191,69191.64986102,11470.75459089
79,98089.64079465,95361.59776960,2728.04302504
80,104595.90845759,93041.95226298,11553.95619461
81,98778.19146151,82854.40713875,15923.78432275
82,102813.09808441,78004.32974542,24808.76833899
83,67841.97137914,54467.02195239,13374.94942675
84,91003.25666880,77096.88498919,13906.37167961
85,86278.31365993,78094.78267710,8183.53098283
86,83444.06195116,76820.20475562,6623.85719554
87,108142.31553944,101197.00671552,6945.30882393
88,93368.67909505,84378.26466601,8990.41442904
89,106616.86282434,95108.00112846,11508.86169587
90,79017.76334482,75514.25891304,3503.50443178
91,99666.72849550,92681.23779242,6985.49070308
92,85279.14429254,76951.30616936,8327.83812318
93,93366.11411792,87710.62627615,5655.48784177
94,85708.44660375,80572.70844101,5135.73816274
95,104124.10399950,98177.06744236,5947.03655714
96,104888.02737191,96035.24456687,8852.78280503
97,97992.65323255,86221.91058124,11770.74265131
98,106159.61471555,101787.97359027,4371.64112529
99,104107.95320444,98771.90439892,5336.04880552
100,75788.68834830,72610.03423126,3178.65411704
101,92249.61195790,84952.48877318,7297.12318472
102,93441.76558732,82522.44248573,10919.32310159
103,97117.74976514,90077.48283069,7040.26693445
