Set,In-sample,Out-of-sample,In-sample,Out-of-sample
N,N=500,N=500,N=1000,N=1000
ADP,7.7670,7.8559,7.6762,7.7495
SDDP,8.2060,8.2762,8.1742,8.2463
EEV,7.5269,9.9395,7.5090,9.9105
WS,8.1694,10.4035,8.1694,10.4035
